extraction,approach,BPM gt,time gt
convexhull,holistic,103.0,0
convexhull,holistic,101.0,1
convexhull,holistic,97.0,2
convexhull,holistic,93.5,3
convexhull,holistic,92.0,4
convexhull,holistic,93.0,5
convexhull,holistic,93.0,6
convexhull,holistic,93.5,7
convexhull,holistic,95.0,8
convexhull,holistic,96.0,9
convexhull,holistic,97.0,10
convexhull,holistic,98.0,11
convexhull,holistic,98.5,12
convexhull,holistic,99.0,13
convexhull,holistic,100.0,14
convexhull,holistic,100.0,15
convexhull,holistic,100.5,16
convexhull,holistic,102.5,17
convexhull,holistic,104.0,18
convexhull,holistic,103.49999999999999,19
convexhull,holistic,103.0,20
convexhull,holistic,103.0,21
convexhull,holistic,103.0,22
convexhull,holistic,103.49999999999999,23
convexhull,holistic,106.5,24
convexhull,holistic,107.5,25
convexhull,holistic,107.5,26
convexhull,holistic,108.5,27
convexhull,holistic,108.5,28
convexhull,holistic,107.0,29
convexhull,holistic,106.5,30
convexhull,holistic,106.5,31
convexhull,holistic,106.5,32
convexhull,holistic,107.0,33
convexhull,holistic,107.5,34
convexhull,holistic,108.0,35
convexhull,holistic,108.5,36
convexhull,holistic,107.5,37
convexhull,holistic,107.0,38
convexhull,holistic,107.5,39
convexhull,holistic,106.0,40
convexhull,holistic,105.0,41
convexhull,holistic,106.0,42
convexhull,holistic,105.5,43
convexhull,holistic,104.0,44
convexhull,holistic,104.0,45
convexhull,holistic,104.5,46
convexhull,holistic,105.0,47
convexhull,holistic,105.0,48
convexhull,holistic,107.0,49
convexhull,holistic,108.5,50
convexhull,holistic,108.5,51
convexhull,holistic,110.5,52
convexhull,holistic,109.5,53
convexhull,holistic,105.0,54
convexhull,holistic,103.0,55
convexhull,holistic,102.5,56
convexhull,holistic,100.5,57
convexhull,holistic,100.0,58
convexhull,holistic,100.5,59
convexhull,holistic,100.0,60
convexhull,holistic,103.0,61
convexhull,holistic,105.5,62
convexhull,holistic,106.5,63
convexhull,holistic,107.0,64
convexhull,holistic,105.5,65
convexhull,holistic,101.0,66
convexhull,holistic,98.5,67
convexhull,holistic,100.0,68
convexhull,holistic,100.5,69
convexhull,holistic,100.5,70
convexhull,holistic,102.0,71
convexhull,holistic,104.0,72
convexhull,holistic,105.0,73
convexhull,holistic,105.5,74
convexhull,holistic,106.5,75
convexhull,holistic,109.0,76
convexhull,holistic,112.0,77
convexhull,holistic,111.5,78
convexhull,holistic,107.0,79
convexhull,holistic,104.0,80
convexhull,holistic,104.0,81
convexhull,holistic,104.5,82
convexhull,holistic,106.5,83
convexhull,holistic,107.5,84
convexhull,holistic,110.0,85
convexhull,holistic,112.0,86
convexhull,holistic,112.5,87
convexhull,holistic,113.0,88
convexhull,holistic,114.0,89
convexhull,holistic,114.5,90
convexhull,holistic,114.0,91
convexhull,holistic,113.5,92
convexhull,holistic,113.5,93
convexhull,holistic,114.5,94
convexhull,holistic,116.0,95
convexhull,holistic,115.5,96
convexhull,holistic,115.0,97
convexhull,holistic,116.5,98
convexhull,holistic,117.5,99
convexhull,holistic,118.0,100
convexhull,holistic,118.0,101
convexhull,holistic,117.0,102
convexhull,holistic,117.5,103
convexhull,holistic,116.5,104
convexhull,holistic,116.0,105
convexhull,holistic,118.49999999999999,106
convexhull,holistic,120.5,107
convexhull,holistic,120.5,108
convexhull,holistic,120.5,109
convexhull,holistic,120.5,110
convexhull,holistic,121.5,111
convexhull,holistic,122.0,112
convexhull,holistic,122.0,113
convexhull,holistic,122.49999999999999,114
convexhull,holistic,122.99999999999999,115
convexhull,holistic,123.49999999999999,116
convexhull,holistic,123.99999999999999,117
convexhull,holistic,124.50000000000001,118
convexhull,holistic,125.00000000000001,119
convexhull,holistic,125.00000000000001,120
convexhull,holistic,125.00000000000001,121
convexhull,holistic,126.0,122
convexhull,holistic,126.0,123
convexhull,holistic,123.99999999999999,124
convexhull,holistic,123.99999999999999,125
convexhull,holistic,125.00000000000001,126
convexhull,holistic,125.5,127
convexhull,holistic,125.5,128
convexhull,holistic,126.0,129
convexhull,holistic,126.5,130
convexhull,holistic,127.0,131
convexhull,holistic,126.5,132
convexhull,holistic,126.5,133
convexhull,holistic,127.0,134
convexhull,holistic,127.0,135
convexhull,holistic,126.0,136
convexhull,holistic,125.5,137
convexhull,holistic,125.5,138
convexhull,holistic,127.0,139
convexhull,holistic,128.0,140
convexhull,holistic,128.5,141
convexhull,holistic,129.5,142
convexhull,holistic,130.0,143
convexhull,holistic,129.0,144
convexhull,holistic,128.5,145
convexhull,holistic,128.0,146
convexhull,holistic,127.5,147
convexhull,holistic,127.5,148
convexhull,holistic,127.0,149
convexhull,holistic,128.0,150
convexhull,holistic,129.0,151
convexhull,holistic,128.5,152
convexhull,holistic,128.5,153
convexhull,holistic,128.5,154
convexhull,holistic,126.0,155
convexhull,holistic,123.99999999999999,156
convexhull,holistic,122.99999999999999,157
convexhull,holistic,122.0,158
convexhull,holistic,120.5,159
convexhull,holistic,119.0,160
convexhull,holistic,120.5,161
convexhull,holistic,122.99999999999999,162
convexhull,holistic,123.99999999999999,163
convexhull,holistic,125.00000000000001,164
convexhull,holistic,125.5,165
convexhull,holistic,123.99999999999999,166
convexhull,holistic,123.49999999999999,167
convexhull,holistic,123.49999999999999,168
convexhull,holistic,123.49999999999999,169
convexhull,holistic,125.00000000000001,170
convexhull,holistic,125.5,171
convexhull,holistic,126.0,172
convexhull,holistic,127.0,173
convexhull,holistic,128.0,174
convexhull,holistic,128.5,175
convexhull,holistic,128.5,176
convexhull,holistic,129.0,177
convexhull,holistic,129.5,178
convexhull,holistic,131.0,179
convexhull,holistic,131.5,180
convexhull,holistic,131.0,181
convexhull,holistic,131.0,182
convexhull,holistic,130.5,183
convexhull,holistic,132.0,184
convexhull,holistic,132.5,185
convexhull,holistic,131.0,186
convexhull,holistic,131.5,187
convexhull,holistic,133.0,188
convexhull,holistic,132.5,189
convexhull,holistic,134.5,190
convexhull,holistic,134.5,191
convexhull,holistic,134.0,192
convexhull,holistic,135.0,193
convexhull,holistic,135.0,194
convexhull,holistic,135.0,195
convexhull,holistic,135.0,196
convexhull,holistic,134.0,197
convexhull,holistic,134.5,198
convexhull,holistic,134.5,199
convexhull,holistic,135.5,200
convexhull,holistic,136.0,201
convexhull,holistic,136.0,202
convexhull,holistic,137.0,203
convexhull,holistic,137.5,204
convexhull,holistic,138.0,205
convexhull,holistic,138.0,206
convexhull,holistic,138.5,207
convexhull,holistic,139.0,208
convexhull,holistic,139.5,209
convexhull,holistic,140.0,210
convexhull,holistic,139.0,211
convexhull,holistic,138.0,212
convexhull,holistic,138.5,213
convexhull,holistic,138.0,214
