time,BPM predicted,uncert,rPPG method
3.0,67.3828125,0.0,cupy_POS
4.0,62.255859375,0.0,cupy_POS
5.0,58.59375,0.0,cupy_POS
6.0,57.861328125,0.0,cupy_POS
7.0,58.59375,0.0,cupy_POS
8.0,60.05859375,0.0,cupy_POS
9.0,63.720703125,0.0,cupy_POS
10.0,98.14453125,0.0,cupy_POS
11.0,78.369140625,0.0,cupy_POS
12.0,73.974609375,0.0,cupy_POS
13.0,76.904296875,0.0,cupy_POS
14.0,77.63671875,0.0,cupy_POS
15.0,76.171875,0.0,cupy_POS
16.0,76.171875,0.0,cupy_POS
17.0,79.1015625,0.0,cupy_POS
18.0,82.763671875,0.0,cupy_POS
19.0,80.56640625,0.0,cupy_POS
20.0,72.509765625,0.0,cupy_POS
21.0,71.77734375,0.0,cupy_POS
22.0,71.77734375,0.0,cupy_POS
23.0,69.580078125,0.0,cupy_POS
24.0,68.84765625,0.0,cupy_POS
25.0,49.8046875,0.0,cupy_POS
26.0,47.607421875,0.0,cupy_POS
27.0,46.142578125,0.0,cupy_POS
28.0,79.833984375,0.0,cupy_POS
29.0,79.1015625,0.0,cupy_POS
30.0,71.044921875,0.0,cupy_POS
31.0,68.115234375,0.0,cupy_POS
32.0,67.3828125,0.0,cupy_POS
33.0,88.623046875,0.0,cupy_POS
34.0,91.552734375,0.0,cupy_POS
35.0,79.833984375,0.0,cupy_POS
36.0,79.1015625,0.0,cupy_POS
37.0,79.833984375,0.0,cupy_POS
38.0,73.974609375,0.0,cupy_POS
39.0,71.77734375,0.0,cupy_POS
40.0,69.580078125,0.0,cupy_POS
41.0,65.91796875,0.0,cupy_POS
42.0,58.59375,0.0,cupy_POS
43.0,47.607421875,0.0,cupy_POS
44.0,45.41015625,0.0,cupy_POS
45.0,43.9453125,0.0,cupy_POS
46.0,177.978515625,0.0,cupy_POS
47.0,179.443359375,0.0,cupy_POS
48.0,75.439453125,0.0,cupy_POS
49.0,69.580078125,0.0,cupy_POS
50.0,72.509765625,0.0,cupy_POS
51.0,75.439453125,0.0,cupy_POS
52.0,68.84765625,0.0,cupy_POS
53.0,64.453125,0.0,cupy_POS
54.0,65.91796875,0.0,cupy_POS
55.0,73.974609375,0.0,cupy_POS
56.0,79.833984375,0.0,cupy_POS
57.0,72.509765625,0.0,cupy_POS
58.0,68.115234375,0.0,cupy_POS
59.0,74.70703125,0.0,cupy_POS
60.0,78.369140625,0.0,cupy_POS
61.0,73.974609375,0.0,cupy_POS
62.0,68.84765625,0.0,cupy_POS
63.0,69.580078125,0.0,cupy_POS
64.0,71.044921875,0.0,cupy_POS
65.0,68.115234375,0.0,cupy_POS
66.0,62.98828125,0.0,cupy_POS
67.0,73.2421875,0.0,cupy_POS
68.0,79.1015625,0.0,cupy_POS
69.0,82.03125,0.0,cupy_POS
70.0,79.1015625,0.0,cupy_POS
71.0,74.70703125,0.0,cupy_POS
72.0,71.77734375,0.0,cupy_POS
73.0,68.84765625,0.0,cupy_POS
74.0,69.580078125,0.0,cupy_POS
75.0,74.70703125,0.0,cupy_POS
76.0,78.369140625,0.0,cupy_POS
77.0,78.369140625,0.0,cupy_POS
78.0,75.439453125,0.0,cupy_POS
79.0,67.3828125,0.0,cupy_POS
80.0,62.98828125,0.0,cupy_POS
81.0,67.3828125,0.0,cupy_POS
82.0,73.2421875,0.0,cupy_POS
83.0,72.509765625,0.0,cupy_POS
84.0,70.3125,0.0,cupy_POS
85.0,72.509765625,0.0,cupy_POS
86.0,76.904296875,0.0,cupy_POS
87.0,78.369140625,0.0,cupy_POS
88.0,76.904296875,0.0,cupy_POS
89.0,73.2421875,0.0,cupy_POS
90.0,69.580078125,0.0,cupy_POS
