extraction,approach,BPM gt,time gt
convexhull,holistic,56.0,0
convexhull,holistic,58.0,1
convexhull,holistic,59.5,2
convexhull,holistic,58.0,3
convexhull,holistic,57.5,4
convexhull,holistic,59.5,5
convexhull,holistic,59.5,6
convexhull,holistic,60.0,7
convexhull,holistic,64.0,8
convexhull,holistic,61.0,9
convexhull,holistic,54.0,10
convexhull,holistic,50.5,11
convexhull,holistic,51.0,12
convexhull,holistic,54.5,13
convexhull,holistic,57.0,14
convexhull,holistic,56.5,15
convexhull,holistic,56.0,16
convexhull,holistic,58.5,17
convexhull,holistic,61.49999999999999,18
convexhull,holistic,61.0,19
convexhull,holistic,56.0,20
convexhull,holistic,54.5,21
convexhull,holistic,55.0,22
convexhull,holistic,54.0,23
convexhull,holistic,53.0,24
convexhull,holistic,55.0,25
convexhull,holistic,56.5,26
convexhull,holistic,57.0,27
convexhull,holistic,59.0,28
convexhull,holistic,61.0,29
convexhull,holistic,58.5,30
convexhull,holistic,56.5,31
convexhull,holistic,58.5,32
convexhull,holistic,60.5,33
convexhull,holistic,61.49999999999999,34
convexhull,holistic,61.99999999999999,35
convexhull,holistic,59.5,36
convexhull,holistic,57.0,37
convexhull,holistic,58.0,38
convexhull,holistic,59.0,39
convexhull,holistic,59.0,40
convexhull,holistic,60.0,41
convexhull,holistic,58.0,42
convexhull,holistic,53.0,43
convexhull,holistic,55.0,44
convexhull,holistic,57.0,45
convexhull,holistic,56.0,46
convexhull,holistic,57.0,47
convexhull,holistic,58.5,48
convexhull,holistic,57.0,49
convexhull,holistic,57.0,50
convexhull,holistic,59.5,51
convexhull,holistic,61.0,52
convexhull,holistic,59.5,53
convexhull,holistic,60.0,54
convexhull,holistic,61.49999999999999,55
convexhull,holistic,60.0,56
convexhull,holistic,58.5,57
convexhull,holistic,59.5,58
convexhull,holistic,60.5,59
convexhull,holistic,58.5,60
convexhull,holistic,57.5,61
convexhull,holistic,59.0,62
convexhull,holistic,58.5,63
convexhull,holistic,55.49999999999999,64
convexhull,holistic,48.5,65
convexhull,holistic,44.0,66
