extraction,approach,BPM gt,time gt
convexhull,holistic,66.0,0
convexhull,holistic,63.0,1
convexhull,holistic,61.99999999999999,2
convexhull,holistic,65.0,3
convexhull,holistic,66.5,4
convexhull,holistic,67.5,5
convexhull,holistic,63.0,6
convexhull,holistic,58.0,7
convexhull,holistic,58.0,8
convexhull,holistic,61.49999999999999,9
convexhull,holistic,65.0,10
convexhull,holistic,66.0,11
convexhull,holistic,67.5,12
convexhull,holistic,69.5,13
convexhull,holistic,65.5,14
convexhull,holistic,59.0,15
convexhull,holistic,57.0,16
convexhull,holistic,58.0,17
convexhull,holistic,61.0,18
convexhull,holistic,64.0,19
convexhull,holistic,65.5,20
convexhull,holistic,64.0,21
convexhull,holistic,59.5,22
convexhull,holistic,57.5,23
convexhull,holistic,58.5,24
convexhull,holistic,61.0,25
convexhull,holistic,62.50000000000001,26
convexhull,holistic,64.5,27
convexhull,holistic,67.5,28
convexhull,holistic,66.0,29
convexhull,holistic,57.5,30
convexhull,holistic,54.0,31
convexhull,holistic,55.0,32
convexhull,holistic,60.5,33
convexhull,holistic,67.5,34
convexhull,holistic,62.50000000000001,35
convexhull,holistic,51.0,36
convexhull,holistic,50.0,37
convexhull,holistic,58.5,38
convexhull,holistic,66.5,39
convexhull,holistic,70.5,40
convexhull,holistic,70.0,41
convexhull,holistic,67.0,42
convexhull,holistic,62.50000000000001,43
convexhull,holistic,57.5,44
convexhull,holistic,58.0,45
convexhull,holistic,62.50000000000001,46
convexhull,holistic,64.5,47
convexhull,holistic,64.5,48
convexhull,holistic,65.0,49
convexhull,holistic,64.5,50
convexhull,holistic,64.0,51
convexhull,holistic,65.5,52
convexhull,holistic,68.5,53
convexhull,holistic,68.5,54
convexhull,holistic,65.5,55
convexhull,holistic,63.0,56
convexhull,holistic,64.0,57
convexhull,holistic,72.0,58
convexhull,holistic,75.0,59
convexhull,holistic,75.5,60
convexhull,holistic,75.5,61
convexhull,holistic,72.5,62
convexhull,holistic,61.0,63
convexhull,holistic,57.5,64
convexhull,holistic,60.0,65
convexhull,holistic,61.99999999999999,66
convexhull,holistic,65.5,67
convexhull,holistic,66.5,68
convexhull,holistic,63.0,69
convexhull,holistic,59.0,70
convexhull,holistic,57.5,71
convexhull,holistic,54.5,72
convexhull,holistic,48.5,73
convexhull,holistic,51.5,74
