extraction,approach,BPM gt,time gt
convexhull,holistic,95.0,0
convexhull,holistic,95.0,1
convexhull,holistic,95.0,2
convexhull,holistic,95.0,3
convexhull,holistic,93.5,4
convexhull,holistic,93.5,5
convexhull,holistic,95.5,6
convexhull,holistic,97.5,7
convexhull,holistic,99.5,8
convexhull,holistic,100.5,9
convexhull,holistic,100.5,10
convexhull,holistic,100.5,11
convexhull,holistic,100.0,12
convexhull,holistic,99.5,13
convexhull,holistic,99.5,14
convexhull,holistic,99.5,15
convexhull,holistic,99.0,16
convexhull,holistic,99.5,17
convexhull,holistic,100.0,18
convexhull,holistic,101.0,19
convexhull,holistic,101.5,20
convexhull,holistic,101.5,21
convexhull,holistic,102.5,22
convexhull,holistic,103.49999999999999,23
convexhull,holistic,105.0,24
convexhull,holistic,106.0,25
convexhull,holistic,106.0,26
convexhull,holistic,105.5,27
convexhull,holistic,105.0,28
convexhull,holistic,104.5,29
convexhull,holistic,104.5,30
convexhull,holistic,104.5,31
convexhull,holistic,104.5,32
convexhull,holistic,105.0,33
convexhull,holistic,106.5,34
convexhull,holistic,107.0,35
convexhull,holistic,107.0,36
convexhull,holistic,106.5,37
convexhull,holistic,107.0,38
convexhull,holistic,109.0,39
convexhull,holistic,110.5,40
convexhull,holistic,110.99999999999999,41
convexhull,holistic,110.99999999999999,42
convexhull,holistic,111.5,43
convexhull,holistic,112.0,44
convexhull,holistic,112.5,45
convexhull,holistic,112.5,46
convexhull,holistic,112.5,47
convexhull,holistic,112.0,48
convexhull,holistic,112.0,49
convexhull,holistic,113.5,50
convexhull,holistic,114.5,51
convexhull,holistic,115.0,52
convexhull,holistic,115.5,53
convexhull,holistic,115.5,54
convexhull,holistic,115.0,55
convexhull,holistic,114.5,56
convexhull,holistic,113.5,57
convexhull,holistic,113.0,58
convexhull,holistic,112.5,59
convexhull,holistic,113.0,60
convexhull,holistic,114.0,61
convexhull,holistic,115.0,62
convexhull,holistic,115.5,63
convexhull,holistic,115.5,64
convexhull,holistic,115.5,65
convexhull,holistic,115.0,66
convexhull,holistic,114.5,67
convexhull,holistic,114.0,68
convexhull,holistic,114.5,69
convexhull,holistic,116.0,70
convexhull,holistic,117.5,71
convexhull,holistic,117.5,72
convexhull,holistic,118.0,73
convexhull,holistic,119.5,74
convexhull,holistic,119.5,75
convexhull,holistic,119.5,76
convexhull,holistic,119.5,77
convexhull,holistic,119.5,78
convexhull,holistic,120.0,79
convexhull,holistic,120.5,80
convexhull,holistic,121.0,81
convexhull,holistic,121.0,82
convexhull,holistic,121.0,83
convexhull,holistic,121.5,84
convexhull,holistic,121.5,85
convexhull,holistic,122.49999999999999,86
convexhull,holistic,122.99999999999999,87
convexhull,holistic,123.99999999999999,88
convexhull,holistic,123.49999999999999,89
convexhull,holistic,122.99999999999999,90
convexhull,holistic,123.49999999999999,91
convexhull,holistic,123.49999999999999,92
convexhull,holistic,124.50000000000001,93
convexhull,holistic,125.00000000000001,94
convexhull,holistic,124.50000000000001,95
convexhull,holistic,123.99999999999999,96
convexhull,holistic,123.99999999999999,97
convexhull,holistic,125.00000000000001,98
convexhull,holistic,126.0,99
convexhull,holistic,126.0,100
convexhull,holistic,126.0,101
convexhull,holistic,126.0,102
convexhull,holistic,126.0,103
convexhull,holistic,126.0,104
convexhull,holistic,125.5,105
convexhull,holistic,126.0,106
convexhull,holistic,127.0,107
convexhull,holistic,127.5,108
convexhull,holistic,128.5,109
convexhull,holistic,128.5,110
convexhull,holistic,128.5,111
convexhull,holistic,128.5,112
convexhull,holistic,128.0,113
convexhull,holistic,128.0,114
convexhull,holistic,128.0,115
convexhull,holistic,128.0,116
convexhull,holistic,127.5,117
convexhull,holistic,127.0,118
convexhull,holistic,127.0,119
convexhull,holistic,127.5,120
convexhull,holistic,128.0,121
convexhull,holistic,128.5,122
convexhull,holistic,128.5,123
convexhull,holistic,128.5,124
convexhull,holistic,128.5,125
convexhull,holistic,128.5,126
convexhull,holistic,128.5,127
convexhull,holistic,129.0,128
convexhull,holistic,129.5,129
convexhull,holistic,130.0,130
convexhull,holistic,130.5,131
convexhull,holistic,131.0,132
convexhull,holistic,131.5,133
convexhull,holistic,131.5,134
convexhull,holistic,131.0,135
convexhull,holistic,130.5,136
convexhull,holistic,130.0,137
convexhull,holistic,129.0,138
convexhull,holistic,129.0,139
convexhull,holistic,128.5,140
convexhull,holistic,127.5,141
convexhull,holistic,127.0,142
convexhull,holistic,127.0,143
convexhull,holistic,127.0,144
convexhull,holistic,128.5,145
convexhull,holistic,129.5,146
convexhull,holistic,130.0,147
convexhull,holistic,130.5,148
convexhull,holistic,131.0,149
convexhull,holistic,131.5,150
convexhull,holistic,132.0,151
convexhull,holistic,132.5,152
convexhull,holistic,133.0,153
convexhull,holistic,133.0,154
convexhull,holistic,132.5,155
convexhull,holistic,132.0,156
convexhull,holistic,132.0,157
convexhull,holistic,131.5,158
convexhull,holistic,130.5,159
convexhull,holistic,129.0,160
convexhull,holistic,127.5,161
convexhull,holistic,125.5,162
convexhull,holistic,124.50000000000001,163
convexhull,holistic,123.49999999999999,164
convexhull,holistic,122.99999999999999,165
convexhull,holistic,122.49999999999999,166
convexhull,holistic,122.0,167
convexhull,holistic,121.5,168
convexhull,holistic,121.5,169
convexhull,holistic,122.0,170
convexhull,holistic,122.0,171
convexhull,holistic,121.0,172
convexhull,holistic,119.0,173
convexhull,holistic,117.0,174
convexhull,holistic,115.5,175
convexhull,holistic,113.5,176
convexhull,holistic,111.5,177
convexhull,holistic,109.5,178
convexhull,holistic,108.0,179
convexhull,holistic,108.5,180
convexhull,holistic,109.5,181
convexhull,holistic,110.0,182
convexhull,holistic,110.0,183
convexhull,holistic,108.0,184
convexhull,holistic,106.5,185
convexhull,holistic,104.5,186
convexhull,holistic,103.0,187
convexhull,holistic,102.0,188
convexhull,holistic,101.5,189
convexhull,holistic,102.0,190
convexhull,holistic,103.0,191
convexhull,holistic,104.0,192
convexhull,holistic,105.5,193
convexhull,holistic,107.0,194
convexhull,holistic,107.0,195
convexhull,holistic,106.0,196
convexhull,holistic,105.0,197
convexhull,holistic,104.5,198
convexhull,holistic,103.0,199
convexhull,holistic,101.5,200
convexhull,holistic,99.5,201
convexhull,holistic,97.0,202
convexhull,holistic,97.5,203
convexhull,holistic,98.5,204
convexhull,holistic,100.0,205
convexhull,holistic,101.0,206
convexhull,holistic,100.0,207
convexhull,holistic,98.5,208
convexhull,holistic,95.5,209
convexhull,holistic,91.0,210
convexhull,holistic,90.0,211
convexhull,holistic,90.0,212
convexhull,holistic,92.5,213
convexhull,holistic,96.0,214
convexhull,holistic,98.5,215
convexhull,holistic,99.5,216
convexhull,holistic,100.0,217
convexhull,holistic,97.0,218
convexhull,holistic,93.5,219
convexhull,holistic,91.5,220
convexhull,holistic,90.0,221
convexhull,holistic,90.5,222
convexhull,holistic,91.5,223
convexhull,holistic,92.0,224
convexhull,holistic,93.0,225
convexhull,holistic,92.0,226
convexhull,holistic,90.5,227
convexhull,holistic,90.5,228
convexhull,holistic,91.0,229
convexhull,holistic,92.0,230
convexhull,holistic,94.0,231
convexhull,holistic,89.5,232
convexhull,holistic,84.5,233
convexhull,holistic,89.5,234
