extraction,approach,BPM gt,time gt
convexhull,holistic,71.5,0
convexhull,holistic,71.0,1
convexhull,holistic,72.5,2
convexhull,holistic,76.5,3
convexhull,holistic,80.5,4
convexhull,holistic,84.5,5
convexhull,holistic,90.5,6
convexhull,holistic,94.5,7
convexhull,holistic,88.5,8
convexhull,holistic,78.5,9
convexhull,holistic,74.5,10
convexhull,holistic,74.5,11
convexhull,holistic,79.0,12
convexhull,holistic,85.0,13
convexhull,holistic,89.0,14
convexhull,holistic,89.5,15
convexhull,holistic,86.5,16
convexhull,holistic,83.0,17
convexhull,holistic,76.5,18
convexhull,holistic,71.0,19
convexhull,holistic,73.0,20
convexhull,holistic,77.0,21
convexhull,holistic,80.0,22
convexhull,holistic,80.5,23
convexhull,holistic,81.0,24
convexhull,holistic,80.5,25
convexhull,holistic,80.0,26
convexhull,holistic,80.5,27
convexhull,holistic,80.5,28
convexhull,holistic,79.5,29
convexhull,holistic,78.0,30
convexhull,holistic,78.0,31
convexhull,holistic,79.0,32
convexhull,holistic,82.5,33
convexhull,holistic,88.5,34
convexhull,holistic,91.5,35
convexhull,holistic,91.5,36
convexhull,holistic,90.0,37
convexhull,holistic,86.5,38
convexhull,holistic,85.5,39
convexhull,holistic,86.5,40
convexhull,holistic,84.0,41
convexhull,holistic,84.0,42
convexhull,holistic,84.5,43
convexhull,holistic,84.5,44
convexhull,holistic,85.0,45
convexhull,holistic,85.0,46
convexhull,holistic,83.5,47
convexhull,holistic,81.5,48
convexhull,holistic,82.0,49
convexhull,holistic,82.0,50
convexhull,holistic,79.5,51
convexhull,holistic,79.0,52
convexhull,holistic,81.0,53
convexhull,holistic,83.5,54
convexhull,holistic,85.0,55
convexhull,holistic,82.0,56
convexhull,holistic,77.0,57
convexhull,holistic,73.5,58
convexhull,holistic,73.0,59
convexhull,holistic,72.5,60
convexhull,holistic,73.5,61
convexhull,holistic,77.0,62
convexhull,holistic,80.0,63
convexhull,holistic,79.0,64
convexhull,holistic,77.5,65
convexhull,holistic,76.5,66
convexhull,holistic,74.0,67
convexhull,holistic,74.0,68
convexhull,holistic,75.5,69
convexhull,holistic,78.5,70
convexhull,holistic,81.0,71
convexhull,holistic,80.5,72
convexhull,holistic,80.0,73
convexhull,holistic,80.5,74
convexhull,holistic,80.5,75
convexhull,holistic,78.5,76
convexhull,holistic,76.5,77
convexhull,holistic,77.5,78
convexhull,holistic,78.5,79
convexhull,holistic,79.0,80
convexhull,holistic,77.5,81
convexhull,holistic,72.0,82
convexhull,holistic,74.5,83
