time,BPM predicted,uncert,rPPG method
3.0,45.41015625,0.0,cupy_CHROM
4.0,125.9765625,0.0,cupy_CHROM
5.0,123.046875,0.0,cupy_CHROM
6.0,121.58203125,0.0,cupy_CHROM
7.0,72.509765625,0.0,cupy_CHROM
8.0,58.59375,0.0,cupy_CHROM
9.0,57.861328125,0.0,cupy_CHROM
10.0,60.05859375,0.0,cupy_CHROM
11.0,89.35546875,0.0,cupy_CHROM
12.0,86.42578125,0.0,cupy_CHROM
13.0,84.9609375,0.0,cupy_CHROM
14.0,82.03125,0.0,cupy_CHROM
15.0,60.791015625,0.0,cupy_CHROM
16.0,67.3828125,0.0,cupy_CHROM
17.0,68.115234375,0.0,cupy_CHROM
18.0,186.03515625,0.0,cupy_CHROM
19.0,186.03515625,0.0,cupy_CHROM
20.0,93.75,0.0,cupy_CHROM
21.0,93.75,0.0,cupy_CHROM
22.0,99.609375,0.0,cupy_CHROM
23.0,102.5390625,0.0,cupy_CHROM
24.0,101.07421875,0.0,cupy_CHROM
25.0,99.609375,0.0,cupy_CHROM
26.0,73.974609375,0.0,cupy_CHROM
27.0,77.63671875,0.0,cupy_CHROM
28.0,90.8203125,0.0,cupy_CHROM
29.0,93.75,0.0,cupy_CHROM
30.0,95.947265625,0.0,cupy_CHROM
31.0,101.07421875,0.0,cupy_CHROM
32.0,103.271484375,0.0,cupy_CHROM
33.0,104.736328125,0.0,cupy_CHROM
34.0,106.201171875,0.0,cupy_CHROM
35.0,107.666015625,0.0,cupy_CHROM
36.0,106.201171875,0.0,cupy_CHROM
37.0,104.00390625,0.0,cupy_CHROM
38.0,96.6796875,0.0,cupy_CHROM
39.0,58.59375,0.0,cupy_CHROM
40.0,52.734375,0.0,cupy_CHROM
41.0,49.8046875,0.0,cupy_CHROM
42.0,102.5390625,0.0,cupy_CHROM
43.0,105.46875,0.0,cupy_CHROM
44.0,106.93359375,0.0,cupy_CHROM
45.0,107.666015625,0.0,cupy_CHROM
46.0,106.201171875,0.0,cupy_CHROM
47.0,53.466796875,0.0,cupy_CHROM
48.0,52.734375,0.0,cupy_CHROM
49.0,106.201171875,0.0,cupy_CHROM
50.0,101.07421875,0.0,cupy_CHROM
51.0,100.341796875,0.0,cupy_CHROM
52.0,54.19921875,0.0,cupy_CHROM
53.0,50.537109375,0.0,cupy_CHROM
54.0,45.41015625,0.0,cupy_CHROM
55.0,106.201171875,0.0,cupy_CHROM
56.0,105.46875,0.0,cupy_CHROM
57.0,106.93359375,0.0,cupy_CHROM
58.0,107.666015625,0.0,cupy_CHROM
59.0,109.86328125,0.0,cupy_CHROM
60.0,112.79296875,0.0,cupy_CHROM
61.0,49.8046875,0.0,cupy_CHROM
62.0,52.734375,0.0,cupy_CHROM
63.0,47.607421875,0.0,cupy_CHROM
64.0,109.86328125,0.0,cupy_CHROM
65.0,110.595703125,0.0,cupy_CHROM
66.0,110.595703125,0.0,cupy_CHROM
67.0,112.060546875,0.0,cupy_CHROM
68.0,111.328125,0.0,cupy_CHROM
69.0,108.3984375,0.0,cupy_CHROM
70.0,104.00390625,0.0,cupy_CHROM
71.0,101.806640625,0.0,cupy_CHROM
72.0,103.271484375,0.0,cupy_CHROM
73.0,106.93359375,0.0,cupy_CHROM
74.0,110.595703125,0.0,cupy_CHROM
75.0,110.595703125,0.0,cupy_CHROM
76.0,106.93359375,0.0,cupy_CHROM
77.0,106.201171875,0.0,cupy_CHROM
78.0,112.060546875,0.0,cupy_CHROM
79.0,46.875,0.0,cupy_CHROM
80.0,49.8046875,0.0,cupy_CHROM
81.0,109.86328125,0.0,cupy_CHROM
82.0,109.130859375,0.0,cupy_CHROM
83.0,109.130859375,0.0,cupy_CHROM
84.0,113.525390625,0.0,cupy_CHROM
85.0,114.990234375,0.0,cupy_CHROM
86.0,112.060546875,0.0,cupy_CHROM
87.0,114.2578125,0.0,cupy_CHROM
88.0,53.466796875,0.0,cupy_CHROM
89.0,55.6640625,0.0,cupy_CHROM
90.0,60.791015625,0.0,cupy_CHROM
91.0,63.720703125,0.0,cupy_CHROM
92.0,109.130859375,0.0,cupy_CHROM
93.0,105.46875,0.0,cupy_CHROM
94.0,104.00390625,0.0,cupy_CHROM
95.0,104.00390625,0.0,cupy_CHROM
96.0,104.736328125,0.0,cupy_CHROM
97.0,107.666015625,0.0,cupy_CHROM
98.0,112.060546875,0.0,cupy_CHROM
99.0,111.328125,0.0,cupy_CHROM
100.0,108.3984375,0.0,cupy_CHROM
101.0,108.3984375,0.0,cupy_CHROM
102.0,110.595703125,0.0,cupy_CHROM
103.0,114.2578125,0.0,cupy_CHROM
104.0,114.2578125,0.0,cupy_CHROM
105.0,111.328125,0.0,cupy_CHROM
106.0,109.130859375,0.0,cupy_CHROM
107.0,111.328125,0.0,cupy_CHROM
108.0,113.525390625,0.0,cupy_CHROM
109.0,114.2578125,0.0,cupy_CHROM
110.0,114.990234375,0.0,cupy_CHROM
111.0,117.1875,0.0,cupy_CHROM
112.0,117.1875,0.0,cupy_CHROM
113.0,114.990234375,0.0,cupy_CHROM
114.0,114.2578125,0.0,cupy_CHROM
115.0,113.525390625,0.0,cupy_CHROM
116.0,112.060546875,0.0,cupy_CHROM
117.0,110.595703125,0.0,cupy_CHROM
118.0,110.595703125,0.0,cupy_CHROM
119.0,111.328125,0.0,cupy_CHROM
120.0,113.525390625,0.0,cupy_CHROM
121.0,46.142578125,0.0,cupy_CHROM
122.0,46.875,0.0,cupy_CHROM
123.0,46.142578125,0.0,cupy_CHROM
124.0,46.142578125,0.0,cupy_CHROM
125.0,46.142578125,0.0,cupy_CHROM
126.0,116.455078125,0.0,cupy_CHROM
127.0,114.990234375,0.0,cupy_CHROM
128.0,111.328125,0.0,cupy_CHROM
129.0,111.328125,0.0,cupy_CHROM
130.0,110.595703125,0.0,cupy_CHROM
131.0,109.86328125,0.0,cupy_CHROM
132.0,111.328125,0.0,cupy_CHROM
133.0,112.79296875,0.0,cupy_CHROM
134.0,111.328125,0.0,cupy_CHROM
135.0,110.595703125,0.0,cupy_CHROM
136.0,111.328125,0.0,cupy_CHROM
137.0,43.212890625,0.0,cupy_CHROM
138.0,44.677734375,0.0,cupy_CHROM
139.0,51.26953125,0.0,cupy_CHROM
140.0,47.607421875,0.0,cupy_CHROM
141.0,46.875,0.0,cupy_CHROM
142.0,116.455078125,0.0,cupy_CHROM
143.0,114.2578125,0.0,cupy_CHROM
144.0,114.990234375,0.0,cupy_CHROM
145.0,117.1875,0.0,cupy_CHROM
146.0,117.1875,0.0,cupy_CHROM
147.0,111.328125,0.0,cupy_CHROM
148.0,113.525390625,0.0,cupy_CHROM
149.0,116.455078125,0.0,cupy_CHROM
150.0,117.1875,0.0,cupy_CHROM
151.0,119.384765625,0.0,cupy_CHROM
152.0,121.58203125,0.0,cupy_CHROM
153.0,120.1171875,0.0,cupy_CHROM
154.0,115.72265625,0.0,cupy_CHROM
155.0,114.990234375,0.0,cupy_CHROM
156.0,118.65234375,0.0,cupy_CHROM
157.0,119.384765625,0.0,cupy_CHROM
158.0,120.1171875,0.0,cupy_CHROM
159.0,52.734375,0.0,cupy_CHROM
160.0,46.875,0.0,cupy_CHROM
161.0,91.552734375,0.0,cupy_CHROM
162.0,93.017578125,0.0,cupy_CHROM
163.0,91.552734375,0.0,cupy_CHROM
164.0,123.046875,0.0,cupy_CHROM
165.0,120.849609375,0.0,cupy_CHROM
166.0,118.65234375,0.0,cupy_CHROM
167.0,117.1875,0.0,cupy_CHROM
168.0,117.919921875,0.0,cupy_CHROM
169.0,118.65234375,0.0,cupy_CHROM
170.0,117.1875,0.0,cupy_CHROM
171.0,117.1875,0.0,cupy_CHROM
172.0,117.1875,0.0,cupy_CHROM
173.0,117.1875,0.0,cupy_CHROM
