extraction,approach,BPM gt,time gt
convexhull,holistic,74.0,0
convexhull,holistic,75.0,1
convexhull,holistic,75.0,2
convexhull,holistic,74.5,3
convexhull,holistic,75.0,4
convexhull,holistic,74.0,5
convexhull,holistic,70.5,6
convexhull,holistic,69.0,7
convexhull,holistic,69.5,8
convexhull,holistic,73.0,9
convexhull,holistic,76.5,10
convexhull,holistic,76.0,11
convexhull,holistic,74.0,12
convexhull,holistic,72.0,13
convexhull,holistic,70.5,14
convexhull,holistic,72.0,15
convexhull,holistic,77.5,16
convexhull,holistic,79.5,17
convexhull,holistic,76.0,18
convexhull,holistic,71.5,19
convexhull,holistic,69.5,20
convexhull,holistic,69.5,21
convexhull,holistic,71.0,22
convexhull,holistic,71.0,23
convexhull,holistic,69.5,24
convexhull,holistic,68.5,25
convexhull,holistic,68.0,26
convexhull,holistic,69.5,27
convexhull,holistic,72.0,28
convexhull,holistic,71.0,29
convexhull,holistic,70.0,30
convexhull,holistic,70.5,31
convexhull,holistic,72.0,32
convexhull,holistic,73.5,33
convexhull,holistic,74.5,34
convexhull,holistic,73.5,35
convexhull,holistic,71.5,36
convexhull,holistic,71.0,37
convexhull,holistic,72.0,38
convexhull,holistic,72.0,39
convexhull,holistic,70.5,40
convexhull,holistic,70.0,41
convexhull,holistic,71.0,42
convexhull,holistic,75.0,43
convexhull,holistic,78.0,44
convexhull,holistic,76.0,45
convexhull,holistic,71.5,46
convexhull,holistic,70.0,47
convexhull,holistic,70.5,48
convexhull,holistic,74.5,49
convexhull,holistic,77.0,50
convexhull,holistic,75.5,51
convexhull,holistic,74.0,52
convexhull,holistic,72.0,53
convexhull,holistic,71.5,54
convexhull,holistic,73.5,55
convexhull,holistic,74.5,56
convexhull,holistic,73.0,57
convexhull,holistic,70.5,58
convexhull,holistic,69.5,59
convexhull,holistic,71.5,60
convexhull,holistic,74.0,61
convexhull,holistic,73.5,62
convexhull,holistic,72.0,63
convexhull,holistic,72.0,64
convexhull,holistic,66.0,65
convexhull,holistic,61.49999999999999,66
