extraction,approach,BPM gt,time gt
convexhull,holistic,73.5,0
convexhull,holistic,75.5,1
convexhull,holistic,78.5,2
convexhull,holistic,79.0,3
convexhull,holistic,81.0,4
convexhull,holistic,84.5,5
convexhull,holistic,88.0,6
convexhull,holistic,88.5,7
convexhull,holistic,86.5,8
convexhull,holistic,79.5,9
convexhull,holistic,43.0,10
convexhull,holistic,79.0,11
convexhull,holistic,74.0,12
convexhull,holistic,71.5,13
convexhull,holistic,73.5,14
convexhull,holistic,77.0,15
convexhull,holistic,78.5,16
convexhull,holistic,78.5,17
convexhull,holistic,76.5,18
convexhull,holistic,73.5,19
convexhull,holistic,73.5,20
convexhull,holistic,77.5,21
convexhull,holistic,80.0,22
convexhull,holistic,79.0,23
convexhull,holistic,76.5,24
convexhull,holistic,74.5,25
convexhull,holistic,75.0,26
convexhull,holistic,78.5,27
convexhull,holistic,79.5,28
convexhull,holistic,78.5,29
convexhull,holistic,76.5,30
convexhull,holistic,72.0,31
convexhull,holistic,70.0,32
convexhull,holistic,70.0,33
convexhull,holistic,71.0,34
convexhull,holistic,73.5,35
convexhull,holistic,75.0,36
convexhull,holistic,76.0,37
convexhull,holistic,75.0,38
convexhull,holistic,72.0,39
convexhull,holistic,70.0,40
convexhull,holistic,71.5,41
convexhull,holistic,76.0,42
convexhull,holistic,79.0,43
convexhull,holistic,81.0,44
convexhull,holistic,82.5,45
convexhull,holistic,85.5,46
convexhull,holistic,87.0,47
convexhull,holistic,86.5,48
convexhull,holistic,84.0,49
convexhull,holistic,78.5,50
convexhull,holistic,75.0,51
convexhull,holistic,72.0,52
convexhull,holistic,73.0,53
convexhull,holistic,79.0,54
convexhull,holistic,82.5,55
convexhull,holistic,82.5,56
convexhull,holistic,79.0,57
convexhull,holistic,74.0,58
convexhull,holistic,70.5,59
convexhull,holistic,69.5,60
convexhull,holistic,71.0,61
convexhull,holistic,72.5,62
convexhull,holistic,74.0,63
convexhull,holistic,74.0,64
convexhull,holistic,73.5,65
convexhull,holistic,75.5,66
convexhull,holistic,75.0,67
convexhull,holistic,72.0,68
convexhull,holistic,69.0,69
convexhull,holistic,69.5,70
convexhull,holistic,69.5,71
convexhull,holistic,70.0,72
convexhull,holistic,74.0,73
convexhull,holistic,78.0,74
convexhull,holistic,77.5,75
convexhull,holistic,73.5,76
convexhull,holistic,63.0,77
convexhull,holistic,62.50000000000001,78
