extraction,approach,BPM gt,time gt
convexhull,holistic,50.0,0
convexhull,holistic,50.5,1
convexhull,holistic,51.0,2
convexhull,holistic,52.0,3
convexhull,holistic,52.0,4
convexhull,holistic,51.5,5
convexhull,holistic,52.5,6
convexhull,holistic,51.5,7
convexhull,holistic,49.0,8
convexhull,holistic,49.0,9
convexhull,holistic,54.5,10
convexhull,holistic,58.5,11
convexhull,holistic,60.0,12
convexhull,holistic,60.0,13
convexhull,holistic,58.5,14
convexhull,holistic,54.0,15
convexhull,holistic,48.5,16
convexhull,holistic,48.5,17
convexhull,holistic,50.5,18
convexhull,holistic,51.0,19
convexhull,holistic,49.0,20
convexhull,holistic,50.0,21
convexhull,holistic,52.0,22
convexhull,holistic,54.0,23
convexhull,holistic,62.50000000000001,24
convexhull,holistic,126.0,25
convexhull,holistic,123.99999999999999,26
convexhull,holistic,64.0,27
convexhull,holistic,58.0,28
convexhull,holistic,51.5,29
convexhull,holistic,50.0,30
convexhull,holistic,50.0,31
convexhull,holistic,48.5,32
convexhull,holistic,48.5,33
convexhull,holistic,50.0,34
convexhull,holistic,50.5,35
convexhull,holistic,51.0,36
convexhull,holistic,52.0,37
convexhull,holistic,52.5,38
convexhull,holistic,50.5,39
convexhull,holistic,47.5,40
convexhull,holistic,47.5,41
convexhull,holistic,49.5,42
convexhull,holistic,49.0,43
convexhull,holistic,47.5,44
convexhull,holistic,49.0,45
convexhull,holistic,51.0,46
convexhull,holistic,50.0,47
convexhull,holistic,49.0,48
convexhull,holistic,48.5,49
convexhull,holistic,51.0,50
convexhull,holistic,50.5,51
convexhull,holistic,49.0,52
convexhull,holistic,49.0,53
convexhull,holistic,48.0,54
convexhull,holistic,47.5,55
convexhull,holistic,52.5,56
convexhull,holistic,54.5,57
convexhull,holistic,51.5,58
convexhull,holistic,50.0,59
convexhull,holistic,51.5,60
convexhull,holistic,52.0,61
convexhull,holistic,48.5,62
convexhull,holistic,49.0,63
convexhull,holistic,53.0,64
convexhull,holistic,51.5,65
convexhull,holistic,51.0,66
convexhull,holistic,58.0,67
convexhull,holistic,67.5,68
convexhull,holistic,64.0,69
