time,BPM predicted,uncert,rPPG method
3.0,57.12890625,0.0,torch_CHROM
4.0,57.12890625,0.0,torch_CHROM
5.0,57.12890625,0.0,torch_CHROM
6.0,57.12890625,0.0,torch_CHROM
7.0,49.072265625,0.0,torch_CHROM
8.0,48.33984375,0.0,torch_CHROM
9.0,49.072265625,0.0,torch_CHROM
10.0,51.26953125,0.0,torch_CHROM
11.0,51.26953125,0.0,torch_CHROM
12.0,44.677734375,0.0,torch_CHROM
13.0,42.48046875,0.0,torch_CHROM
14.0,48.33984375,0.0,torch_CHROM
15.0,46.875,0.0,torch_CHROM
16.0,48.33984375,0.0,torch_CHROM
17.0,49.072265625,0.0,torch_CHROM
18.0,49.072265625,0.0,torch_CHROM
19.0,49.8046875,0.0,torch_CHROM
20.0,45.41015625,0.0,torch_CHROM
21.0,43.212890625,0.0,torch_CHROM
22.0,67.3828125,0.0,torch_CHROM
23.0,66.650390625,0.0,torch_CHROM
24.0,57.12890625,0.0,torch_CHROM
25.0,52.734375,0.0,torch_CHROM
26.0,53.466796875,0.0,torch_CHROM
27.0,55.6640625,0.0,torch_CHROM
28.0,52.001953125,0.0,torch_CHROM
29.0,49.8046875,0.0,torch_CHROM
30.0,49.072265625,0.0,torch_CHROM
31.0,48.33984375,0.0,torch_CHROM
32.0,51.26953125,0.0,torch_CHROM
33.0,52.001953125,0.0,torch_CHROM
34.0,51.26953125,0.0,torch_CHROM
35.0,53.466796875,0.0,torch_CHROM
36.0,54.19921875,0.0,torch_CHROM
37.0,54.19921875,0.0,torch_CHROM
38.0,53.466796875,0.0,torch_CHROM
39.0,56.396484375,0.0,torch_CHROM
40.0,84.228515625,0.0,torch_CHROM
41.0,82.03125,0.0,torch_CHROM
42.0,80.56640625,0.0,torch_CHROM
43.0,75.439453125,0.0,torch_CHROM
44.0,43.212890625,0.0,torch_CHROM
45.0,43.212890625,0.0,torch_CHROM
46.0,43.212890625,0.0,torch_CHROM
47.0,96.6796875,0.0,torch_CHROM
48.0,49.8046875,0.0,torch_CHROM
49.0,52.001953125,0.0,torch_CHROM
50.0,49.8046875,0.0,torch_CHROM
51.0,48.33984375,0.0,torch_CHROM
52.0,48.33984375,0.0,torch_CHROM
53.0,51.26953125,0.0,torch_CHROM
54.0,54.19921875,0.0,torch_CHROM
55.0,55.6640625,0.0,torch_CHROM
56.0,52.734375,0.0,torch_CHROM
57.0,47.607421875,0.0,torch_CHROM
58.0,48.33984375,0.0,torch_CHROM
59.0,47.607421875,0.0,torch_CHROM
60.0,49.072265625,0.0,torch_CHROM
61.0,49.072265625,0.0,torch_CHROM
62.0,48.33984375,0.0,torch_CHROM
63.0,52.734375,0.0,torch_CHROM
64.0,54.19921875,0.0,torch_CHROM
