extraction,approach,BPM gt,time gt
convexhull,holistic,74.0,0
convexhull,holistic,70.5,1
convexhull,holistic,39.5,2
convexhull,holistic,39.5,3
convexhull,holistic,45.0,4
convexhull,holistic,50.0,5
convexhull,holistic,131.5,6
convexhull,holistic,74.5,7
convexhull,holistic,72.5,8
convexhull,holistic,80.5,9
convexhull,holistic,85.0,10
convexhull,holistic,87.0,11
convexhull,holistic,85.0,12
convexhull,holistic,80.5,13
convexhull,holistic,77.5,14
convexhull,holistic,77.5,15
convexhull,holistic,78.5,16
convexhull,holistic,79.5,17
convexhull,holistic,83.0,18
convexhull,holistic,82.5,19
convexhull,holistic,79.0,20
convexhull,holistic,79.0,21
convexhull,holistic,79.5,22
convexhull,holistic,77.0,23
convexhull,holistic,76.5,24
convexhull,holistic,78.0,25
convexhull,holistic,79.0,26
convexhull,holistic,81.5,27
convexhull,holistic,81.5,28
convexhull,holistic,77.0,29
convexhull,holistic,74.0,30
convexhull,holistic,76.0,31
convexhull,holistic,77.5,32
convexhull,holistic,77.5,33
convexhull,holistic,78.5,34
convexhull,holistic,79.0,35
convexhull,holistic,80.0,36
convexhull,holistic,81.0,37
convexhull,holistic,78.0,38
convexhull,holistic,75.5,39
convexhull,holistic,74.0,40
convexhull,holistic,74.5,41
convexhull,holistic,77.5,42
convexhull,holistic,82.5,43
convexhull,holistic,89.5,44
convexhull,holistic,91.0,45
convexhull,holistic,85.0,46
convexhull,holistic,76.0,47
convexhull,holistic,72.0,48
convexhull,holistic,73.5,49
convexhull,holistic,77.0,50
convexhull,holistic,78.5,51
convexhull,holistic,79.5,52
convexhull,holistic,79.5,53
convexhull,holistic,78.0,54
convexhull,holistic,75.5,55
convexhull,holistic,77.5,56
convexhull,holistic,80.5,57
convexhull,holistic,79.5,58
convexhull,holistic,78.5,59
convexhull,holistic,80.5,60
convexhull,holistic,84.5,61
convexhull,holistic,88.0,62
convexhull,holistic,86.0,63
convexhull,holistic,80.5,64
convexhull,holistic,78.5,65
convexhull,holistic,79.5,66
convexhull,holistic,80.0,67
convexhull,holistic,78.0,68
convexhull,holistic,76.0,69
convexhull,holistic,76.0,70
convexhull,holistic,78.0,71
convexhull,holistic,80.0,72
convexhull,holistic,81.5,73
convexhull,holistic,83.5,74
convexhull,holistic,84.5,75
convexhull,holistic,83.5,76
convexhull,holistic,80.0,77
convexhull,holistic,77.0,78
convexhull,holistic,75.5,79
convexhull,holistic,76.0,80
convexhull,holistic,76.5,81
convexhull,holistic,75.0,82
convexhull,holistic,75.5,83
