time,BPM predicted,uncert,rPPG method
3.0,93.75,0.0,cupy_CHROM
4.0,92.28515625,0.0,cupy_CHROM
5.0,88.623046875,0.0,cupy_CHROM
6.0,85.693359375,0.0,cupy_CHROM
7.0,83.49609375,0.0,cupy_CHROM
8.0,79.833984375,0.0,cupy_CHROM
9.0,78.369140625,0.0,cupy_CHROM
10.0,79.833984375,0.0,cupy_CHROM
11.0,82.763671875,0.0,cupy_CHROM
12.0,85.693359375,0.0,cupy_CHROM
13.0,87.158203125,0.0,cupy_CHROM
14.0,83.49609375,0.0,cupy_CHROM
15.0,82.03125,0.0,cupy_CHROM
16.0,82.03125,0.0,cupy_CHROM
17.0,80.56640625,0.0,cupy_CHROM
18.0,78.369140625,0.0,cupy_CHROM
19.0,78.369140625,0.0,cupy_CHROM
20.0,76.171875,0.0,cupy_CHROM
21.0,62.255859375,0.0,cupy_CHROM
22.0,59.326171875,0.0,cupy_CHROM
23.0,128.173828125,0.0,cupy_CHROM
24.0,121.58203125,0.0,cupy_CHROM
25.0,54.931640625,0.0,cupy_CHROM
26.0,56.396484375,0.0,cupy_CHROM
27.0,57.12890625,0.0,cupy_CHROM
28.0,47.607421875,0.0,cupy_CHROM
29.0,42.48046875,0.0,cupy_CHROM
30.0,87.158203125,0.0,cupy_CHROM
31.0,89.35546875,0.0,cupy_CHROM
32.0,84.9609375,0.0,cupy_CHROM
33.0,81.298828125,0.0,cupy_CHROM
34.0,82.03125,0.0,cupy_CHROM
35.0,84.9609375,0.0,cupy_CHROM
36.0,84.9609375,0.0,cupy_CHROM
37.0,82.03125,0.0,cupy_CHROM
38.0,80.56640625,0.0,cupy_CHROM
39.0,79.833984375,0.0,cupy_CHROM
40.0,81.298828125,0.0,cupy_CHROM
41.0,81.298828125,0.0,cupy_CHROM
42.0,82.763671875,0.0,cupy_CHROM
43.0,82.03125,0.0,cupy_CHROM
44.0,43.9453125,0.0,cupy_CHROM
45.0,65.91796875,0.0,cupy_CHROM
46.0,65.185546875,0.0,cupy_CHROM
47.0,72.509765625,0.0,cupy_CHROM
48.0,79.1015625,0.0,cupy_CHROM
49.0,83.49609375,0.0,cupy_CHROM
50.0,87.158203125,0.0,cupy_CHROM
51.0,87.890625,0.0,cupy_CHROM
52.0,85.693359375,0.0,cupy_CHROM
53.0,84.228515625,0.0,cupy_CHROM
54.0,82.763671875,0.0,cupy_CHROM
55.0,82.03125,0.0,cupy_CHROM
56.0,82.03125,0.0,cupy_CHROM
57.0,80.56640625,0.0,cupy_CHROM
58.0,81.298828125,0.0,cupy_CHROM
59.0,84.9609375,0.0,cupy_CHROM
60.0,86.42578125,0.0,cupy_CHROM
61.0,84.228515625,0.0,cupy_CHROM
62.0,81.298828125,0.0,cupy_CHROM
63.0,79.1015625,0.0,cupy_CHROM
64.0,79.1015625,0.0,cupy_CHROM
65.0,80.56640625,0.0,cupy_CHROM
66.0,83.49609375,0.0,cupy_CHROM
67.0,86.42578125,0.0,cupy_CHROM
