extraction,approach,BPM gt,time gt
convexhull,holistic,85.5,0
convexhull,holistic,88.0,1
convexhull,holistic,91.5,2
convexhull,holistic,92.5,3
convexhull,holistic,92.0,4
convexhull,holistic,88.5,5
convexhull,holistic,84.5,6
convexhull,holistic,82.0,7
convexhull,holistic,80.5,8
convexhull,holistic,80.0,9
convexhull,holistic,80.0,10
convexhull,holistic,81.5,11
convexhull,holistic,83.5,12
convexhull,holistic,84.0,13
convexhull,holistic,83.5,14
convexhull,holistic,83.5,15
convexhull,holistic,83.5,16
convexhull,holistic,80.5,17
convexhull,holistic,77.5,18
convexhull,holistic,74.5,19
convexhull,holistic,71.5,20
convexhull,holistic,76.0,21
convexhull,holistic,80.0,22
convexhull,holistic,81.5,23
convexhull,holistic,83.0,24
convexhull,holistic,83.0,25
convexhull,holistic,83.0,26
convexhull,holistic,84.0,27
convexhull,holistic,83.0,28
convexhull,holistic,81.5,29
convexhull,holistic,81.0,30
convexhull,holistic,82.0,31
convexhull,holistic,83.0,32
convexhull,holistic,81.5,33
convexhull,holistic,81.5,34
convexhull,holistic,83.5,35
convexhull,holistic,84.5,36
convexhull,holistic,83.0,37
convexhull,holistic,80.0,38
convexhull,holistic,80.5,39
convexhull,holistic,83.0,40
convexhull,holistic,82.5,41
convexhull,holistic,81.0,42
convexhull,holistic,82.0,43
convexhull,holistic,84.0,44
convexhull,holistic,84.0,45
convexhull,holistic,83.5,46
convexhull,holistic,85.0,47
convexhull,holistic,86.0,48
convexhull,holistic,86.0,49
convexhull,holistic,84.5,50
convexhull,holistic,84.5,51
convexhull,holistic,86.5,52
convexhull,holistic,86.5,53
convexhull,holistic,83.5,54
convexhull,holistic,82.5,55
convexhull,holistic,82.5,56
convexhull,holistic,82.0,57
convexhull,holistic,81.0,58
convexhull,holistic,82.0,59
convexhull,holistic,84.5,60
convexhull,holistic,85.0,61
convexhull,holistic,83.0,62
convexhull,holistic,80.5,63
convexhull,holistic,79.5,64
convexhull,holistic,78.5,65
convexhull,holistic,79.0,66
convexhull,holistic,82.0,67
convexhull,holistic,85.5,68
convexhull,holistic,86.5,69
convexhull,holistic,85.5,70
convexhull,holistic,87.0,71
convexhull,holistic,86.5,72
