time,BPM predicted,uncert,rPPG method
3.0,60.05859375,0.0,cupy_POS
4.0,65.91796875,0.0,cupy_POS
5.0,68.115234375,0.0,cupy_POS
6.0,68.115234375,0.0,cupy_POS
7.0,69.580078125,0.0,cupy_POS
8.0,96.6796875,0.0,cupy_POS
9.0,97.412109375,0.0,cupy_POS
10.0,98.14453125,0.0,cupy_POS
11.0,96.6796875,0.0,cupy_POS
12.0,93.75,0.0,cupy_POS
13.0,90.087890625,0.0,cupy_POS
14.0,87.158203125,0.0,cupy_POS
15.0,85.693359375,0.0,cupy_POS
16.0,86.42578125,0.0,cupy_POS
17.0,89.35546875,0.0,cupy_POS
18.0,93.017578125,0.0,cupy_POS
19.0,95.21484375,0.0,cupy_POS
20.0,93.75,0.0,cupy_POS
21.0,89.35546875,0.0,cupy_POS
22.0,83.49609375,0.0,cupy_POS
23.0,81.298828125,0.0,cupy_POS
24.0,83.49609375,0.0,cupy_POS
25.0,85.693359375,0.0,cupy_POS
26.0,88.623046875,0.0,cupy_POS
27.0,87.890625,0.0,cupy_POS
28.0,79.833984375,0.0,cupy_POS
29.0,82.763671875,0.0,cupy_POS
30.0,94.482421875,0.0,cupy_POS
31.0,97.412109375,0.0,cupy_POS
32.0,93.75,0.0,cupy_POS
33.0,93.017578125,0.0,cupy_POS
34.0,89.35546875,0.0,cupy_POS
35.0,84.9609375,0.0,cupy_POS
36.0,82.763671875,0.0,cupy_POS
37.0,81.298828125,0.0,cupy_POS
38.0,84.228515625,0.0,cupy_POS
39.0,86.42578125,0.0,cupy_POS
40.0,84.9609375,0.0,cupy_POS
41.0,82.763671875,0.0,cupy_POS
42.0,84.228515625,0.0,cupy_POS
43.0,85.693359375,0.0,cupy_POS
44.0,85.693359375,0.0,cupy_POS
45.0,87.890625,0.0,cupy_POS
46.0,90.8203125,0.0,cupy_POS
47.0,88.623046875,0.0,cupy_POS
48.0,83.49609375,0.0,cupy_POS
49.0,87.158203125,0.0,cupy_POS
50.0,91.552734375,0.0,cupy_POS
51.0,86.42578125,0.0,cupy_POS
52.0,76.171875,0.0,cupy_POS
53.0,74.70703125,0.0,cupy_POS
54.0,73.2421875,0.0,cupy_POS
55.0,70.3125,0.0,cupy_POS
56.0,68.84765625,0.0,cupy_POS
57.0,49.072265625,0.0,cupy_POS
58.0,89.35546875,0.0,cupy_POS
59.0,85.693359375,0.0,cupy_POS
60.0,85.693359375,0.0,cupy_POS
61.0,51.26953125,0.0,cupy_POS
62.0,56.396484375,0.0,cupy_POS
63.0,84.9609375,0.0,cupy_POS
64.0,82.03125,0.0,cupy_POS
65.0,83.49609375,0.0,cupy_POS
66.0,84.228515625,0.0,cupy_POS
67.0,82.763671875,0.0,cupy_POS
68.0,90.8203125,0.0,cupy_POS
69.0,90.8203125,0.0,cupy_POS
70.0,84.228515625,0.0,cupy_POS
71.0,82.763671875,0.0,cupy_POS
72.0,81.298828125,0.0,cupy_POS
73.0,79.1015625,0.0,cupy_POS
74.0,79.1015625,0.0,cupy_POS
75.0,82.03125,0.0,cupy_POS
76.0,84.228515625,0.0,cupy_POS
