extraction,approach,BPM gt,time gt
convexhull,holistic,95.0,0
convexhull,holistic,95.5,1
convexhull,holistic,94.5,2
convexhull,holistic,93.5,3
convexhull,holistic,95.0,4
convexhull,holistic,95.5,5
convexhull,holistic,96.0,6
convexhull,holistic,97.5,7
convexhull,holistic,96.0,8
convexhull,holistic,92.5,9
convexhull,holistic,92.5,10
convexhull,holistic,94.0,11
convexhull,holistic,97.0,12
convexhull,holistic,98.0,13
convexhull,holistic,95.0,14
convexhull,holistic,88.0,15
convexhull,holistic,84.5,16
convexhull,holistic,84.5,17
convexhull,holistic,87.0,18
convexhull,holistic,90.5,19
convexhull,holistic,92.5,20
convexhull,holistic,93.5,21
convexhull,holistic,92.5,22
convexhull,holistic,87.5,23
convexhull,holistic,82.5,24
convexhull,holistic,81.5,25
convexhull,holistic,82.5,26
convexhull,holistic,84.5,27
convexhull,holistic,85.5,28
convexhull,holistic,85.0,29
convexhull,holistic,85.5,30
convexhull,holistic,88.0,31
convexhull,holistic,91.5,32
convexhull,holistic,93.0,33
convexhull,holistic,94.0,34
convexhull,holistic,94.5,35
convexhull,holistic,88.5,36
convexhull,holistic,81.0,37
convexhull,holistic,81.5,38
convexhull,holistic,84.0,39
convexhull,holistic,86.5,40
convexhull,holistic,87.0,41
convexhull,holistic,84.5,42
convexhull,holistic,83.0,43
convexhull,holistic,82.5,44
convexhull,holistic,83.5,45
convexhull,holistic,86.5,46
convexhull,holistic,86.5,47
convexhull,holistic,84.5,48
convexhull,holistic,84.0,49
convexhull,holistic,87.5,50
convexhull,holistic,93.0,51
convexhull,holistic,92.0,52
convexhull,holistic,84.0,53
convexhull,holistic,77.5,54
convexhull,holistic,77.0,55
convexhull,holistic,81.0,56
convexhull,holistic,87.5,57
convexhull,holistic,92.5,58
convexhull,holistic,93.5,59
convexhull,holistic,89.0,60
convexhull,holistic,84.5,61
convexhull,holistic,86.5,62
convexhull,holistic,89.0,63
convexhull,holistic,89.5,64
convexhull,holistic,87.5,65
convexhull,holistic,85.5,66
convexhull,holistic,84.0,67
convexhull,holistic,83.5,68
convexhull,holistic,86.5,69
convexhull,holistic,90.0,70
convexhull,holistic,90.5,71
convexhull,holistic,87.0,72
convexhull,holistic,82.5,73
convexhull,holistic,80.0,74
convexhull,holistic,78.5,75
convexhull,holistic,79.5,76
convexhull,holistic,81.0,77
convexhull,holistic,82.5,78
convexhull,holistic,83.5,79
convexhull,holistic,83.5,80
