time,BPM predicted,uncert,rPPG method
3.0,62.98828125,0.0,torch_CHROM
4.0,85.693359375,0.0,torch_CHROM
5.0,82.763671875,0.0,torch_CHROM
6.0,48.33984375,0.0,torch_CHROM
7.0,46.875,0.0,torch_CHROM
8.0,43.9453125,0.0,torch_CHROM
9.0,45.41015625,0.0,torch_CHROM
10.0,46.142578125,0.0,torch_CHROM
11.0,55.6640625,0.0,torch_CHROM
12.0,60.791015625,0.0,torch_CHROM
13.0,67.3828125,0.0,torch_CHROM
14.0,101.07421875,0.0,torch_CHROM
15.0,102.5390625,0.0,torch_CHROM
16.0,101.806640625,0.0,torch_CHROM
17.0,104.00390625,0.0,torch_CHROM
18.0,104.736328125,0.0,torch_CHROM
19.0,102.5390625,0.0,torch_CHROM
20.0,104.00390625,0.0,torch_CHROM
21.0,106.201171875,0.0,torch_CHROM
22.0,107.666015625,0.0,torch_CHROM
23.0,40.283203125,0.0,torch_CHROM
24.0,49.8046875,0.0,torch_CHROM
25.0,47.607421875,0.0,torch_CHROM
26.0,58.59375,0.0,torch_CHROM
27.0,109.130859375,0.0,torch_CHROM
28.0,109.86328125,0.0,torch_CHROM
29.0,62.255859375,0.0,torch_CHROM
30.0,58.59375,0.0,torch_CHROM
31.0,52.001953125,0.0,torch_CHROM
32.0,199.21875,0.0,torch_CHROM
33.0,107.666015625,0.0,torch_CHROM
34.0,107.666015625,0.0,torch_CHROM
35.0,108.3984375,0.0,torch_CHROM
36.0,108.3984375,0.0,torch_CHROM
37.0,106.201171875,0.0,torch_CHROM
38.0,104.736328125,0.0,torch_CHROM
39.0,56.396484375,0.0,torch_CHROM
40.0,131.103515625,0.0,torch_CHROM
41.0,128.90625,0.0,torch_CHROM
42.0,63.720703125,0.0,torch_CHROM
43.0,64.453125,0.0,torch_CHROM
44.0,65.185546875,0.0,torch_CHROM
45.0,62.255859375,0.0,torch_CHROM
46.0,105.46875,0.0,torch_CHROM
47.0,107.666015625,0.0,torch_CHROM
48.0,109.86328125,0.0,torch_CHROM
49.0,110.595703125,0.0,torch_CHROM
50.0,109.130859375,0.0,torch_CHROM
51.0,108.3984375,0.0,torch_CHROM
52.0,108.3984375,0.0,torch_CHROM
53.0,105.46875,0.0,torch_CHROM
54.0,101.07421875,0.0,torch_CHROM
55.0,100.341796875,0.0,torch_CHROM
56.0,99.609375,0.0,torch_CHROM
57.0,102.5390625,0.0,torch_CHROM
58.0,103.271484375,0.0,torch_CHROM
59.0,102.5390625,0.0,torch_CHROM
60.0,104.00390625,0.0,torch_CHROM
61.0,107.666015625,0.0,torch_CHROM
62.0,114.2578125,0.0,torch_CHROM
63.0,42.48046875,0.0,torch_CHROM
64.0,45.41015625,0.0,torch_CHROM
65.0,49.072265625,0.0,torch_CHROM
66.0,40.283203125,0.0,torch_CHROM
67.0,50.537109375,0.0,torch_CHROM
68.0,98.876953125,0.0,torch_CHROM
69.0,97.412109375,0.0,torch_CHROM
70.0,99.609375,0.0,torch_CHROM
71.0,41.748046875,0.0,torch_CHROM
72.0,46.875,0.0,torch_CHROM
73.0,64.453125,0.0,torch_CHROM
74.0,68.115234375,0.0,torch_CHROM
