extraction,approach,BPM gt,time gt
convexhull,holistic,69.5,0
convexhull,holistic,68.5,1
convexhull,holistic,67.5,2
convexhull,holistic,67.0,3
convexhull,holistic,66.0,4
convexhull,holistic,66.5,5
convexhull,holistic,68.0,6
convexhull,holistic,67.0,7
convexhull,holistic,63.5,8
convexhull,holistic,62.50000000000001,9
convexhull,holistic,65.0,10
convexhull,holistic,67.0,11
convexhull,holistic,65.0,12
convexhull,holistic,62.50000000000001,13
convexhull,holistic,61.49999999999999,14
convexhull,holistic,62.50000000000001,15
convexhull,holistic,65.0,16
convexhull,holistic,67.0,17
convexhull,holistic,65.5,18
convexhull,holistic,63.0,19
convexhull,holistic,61.49999999999999,20
convexhull,holistic,61.99999999999999,21
convexhull,holistic,65.0,22
convexhull,holistic,65.5,23
convexhull,holistic,63.5,24
convexhull,holistic,62.50000000000001,25
convexhull,holistic,64.0,26
convexhull,holistic,68.0,27
convexhull,holistic,68.5,28
convexhull,holistic,66.5,29
convexhull,holistic,64.5,30
convexhull,holistic,66.0,31
convexhull,holistic,69.5,32
convexhull,holistic,70.0,33
convexhull,holistic,67.5,34
convexhull,holistic,65.5,35
convexhull,holistic,66.5,36
convexhull,holistic,69.0,37
convexhull,holistic,68.0,38
convexhull,holistic,65.5,39
convexhull,holistic,64.0,40
convexhull,holistic,65.0,41
convexhull,holistic,67.0,42
convexhull,holistic,66.5,43
convexhull,holistic,64.5,44
convexhull,holistic,65.0,45
convexhull,holistic,67.0,46
convexhull,holistic,67.0,47
convexhull,holistic,65.0,48
convexhull,holistic,66.0,49
convexhull,holistic,68.5,50
convexhull,holistic,70.5,51
convexhull,holistic,73.5,52
convexhull,holistic,77.5,53
convexhull,holistic,80.5,54
convexhull,holistic,82.5,55
convexhull,holistic,80.5,56
convexhull,holistic,74.5,57
convexhull,holistic,68.5,58
convexhull,holistic,64.5,59
convexhull,holistic,62.50000000000001,60
convexhull,holistic,63.0,61
convexhull,holistic,64.5,62
convexhull,holistic,66.0,63
convexhull,holistic,66.5,64
convexhull,holistic,66.5,65
convexhull,holistic,67.5,66
convexhull,holistic,67.0,67
convexhull,holistic,64.0,68
convexhull,holistic,61.0,69
convexhull,holistic,60.0,70
convexhull,holistic,59.5,71
convexhull,holistic,60.5,72
convexhull,holistic,61.0,73
convexhull,holistic,61.0,74
convexhull,holistic,63.0,75
