extraction,approach,BPM gt,time gt
convexhull,holistic,65.0,0
convexhull,holistic,67.5,1
convexhull,holistic,69.5,2
convexhull,holistic,68.5,3
convexhull,holistic,69.0,4
convexhull,holistic,71.0,5
convexhull,holistic,70.5,6
convexhull,holistic,67.5,7
convexhull,holistic,67.5,8
convexhull,holistic,68.5,9
convexhull,holistic,67.5,10
convexhull,holistic,66.5,11
convexhull,holistic,66.0,12
convexhull,holistic,67.0,13
convexhull,holistic,69.0,14
convexhull,holistic,70.0,15
convexhull,holistic,71.0,16
convexhull,holistic,72.0,17
convexhull,holistic,70.5,18
convexhull,holistic,67.0,19
convexhull,holistic,66.0,20
convexhull,holistic,68.0,21
convexhull,holistic,69.0,22
convexhull,holistic,67.5,23
convexhull,holistic,65.5,24
convexhull,holistic,65.5,25
convexhull,holistic,66.5,26
convexhull,holistic,66.0,27
convexhull,holistic,67.0,28
convexhull,holistic,70.0,29
convexhull,holistic,70.5,30
convexhull,holistic,69.0,31
convexhull,holistic,69.0,32
convexhull,holistic,70.0,33
convexhull,holistic,70.0,34
convexhull,holistic,70.0,35
convexhull,holistic,73.0,36
convexhull,holistic,74.5,37
convexhull,holistic,72.0,38
convexhull,holistic,69.0,39
convexhull,holistic,68.0,40
convexhull,holistic,69.0,41
convexhull,holistic,68.0,42
convexhull,holistic,65.5,43
convexhull,holistic,64.5,44
convexhull,holistic,65.0,45
convexhull,holistic,66.5,46
convexhull,holistic,66.5,47
convexhull,holistic,65.5,48
convexhull,holistic,65.0,49
convexhull,holistic,66.0,50
convexhull,holistic,68.0,51
convexhull,holistic,68.0,52
convexhull,holistic,67.0,53
convexhull,holistic,66.5,54
convexhull,holistic,66.5,55
convexhull,holistic,65.5,56
convexhull,holistic,64.5,57
convexhull,holistic,65.0,58
convexhull,holistic,66.5,59
convexhull,holistic,67.0,60
convexhull,holistic,68.0,61
convexhull,holistic,70.5,62
convexhull,holistic,72.5,63
convexhull,holistic,72.5,64
convexhull,holistic,72.0,65
convexhull,holistic,71.5,66
convexhull,holistic,70.5,67
convexhull,holistic,68.0,68
convexhull,holistic,67.0,69
convexhull,holistic,68.0,70
convexhull,holistic,71.0,71
convexhull,holistic,73.0,72
convexhull,holistic,72.0,73
convexhull,holistic,72.0,74
convexhull,holistic,76.0,75
convexhull,holistic,75.5,76
