extraction,approach,BPM gt,time gt
convexhull,holistic,88.0,0
convexhull,holistic,77.5,1
convexhull,holistic,73.0,2
convexhull,holistic,72.5,3
convexhull,holistic,71.5,4
convexhull,holistic,75.0,5
convexhull,holistic,77.5,6
convexhull,holistic,77.0,7
convexhull,holistic,77.0,8
convexhull,holistic,77.5,9
convexhull,holistic,78.5,10
convexhull,holistic,77.5,11
convexhull,holistic,75.5,12
convexhull,holistic,74.5,13
convexhull,holistic,75.0,14
convexhull,holistic,76.0,15
convexhull,holistic,79.0,16
convexhull,holistic,80.0,17
convexhull,holistic,79.5,18
convexhull,holistic,80.0,19
convexhull,holistic,80.0,20
convexhull,holistic,74.5,21
convexhull,holistic,70.0,22
convexhull,holistic,68.5,23
convexhull,holistic,70.0,24
convexhull,holistic,71.5,25
convexhull,holistic,74.5,26
convexhull,holistic,78.0,27
convexhull,holistic,79.0,28
convexhull,holistic,79.0,29
convexhull,holistic,79.0,30
convexhull,holistic,77.0,31
convexhull,holistic,71.5,32
convexhull,holistic,67.5,33
convexhull,holistic,66.5,34
convexhull,holistic,67.0,35
convexhull,holistic,69.5,36
convexhull,holistic,74.5,37
convexhull,holistic,76.5,38
convexhull,holistic,78.5,39
convexhull,holistic,78.5,40
convexhull,holistic,75.0,41
convexhull,holistic,69.0,42
convexhull,holistic,65.0,43
convexhull,holistic,64.5,44
convexhull,holistic,66.5,45
convexhull,holistic,70.5,46
convexhull,holistic,74.0,47
convexhull,holistic,75.5,48
convexhull,holistic,75.5,49
convexhull,holistic,74.5,50
convexhull,holistic,75.0,51
convexhull,holistic,75.5,52
convexhull,holistic,75.0,53
convexhull,holistic,71.0,54
convexhull,holistic,67.5,55
convexhull,holistic,66.0,56
convexhull,holistic,69.5,57
convexhull,holistic,73.0,58
convexhull,holistic,74.5,59
convexhull,holistic,75.5,60
convexhull,holistic,76.5,61
convexhull,holistic,76.5,62
convexhull,holistic,74.5,63
convexhull,holistic,71.0,64
convexhull,holistic,68.0,65
convexhull,holistic,65.5,66
convexhull,holistic,66.5,67
convexhull,holistic,70.5,68
convexhull,holistic,75.0,69
convexhull,holistic,78.0,70
convexhull,holistic,79.0,71
convexhull,holistic,78.5,72
convexhull,holistic,75.0,73
convexhull,holistic,70.0,74
convexhull,holistic,68.0,75
convexhull,holistic,70.0,76
convexhull,holistic,74.0,77
convexhull,holistic,76.5,78
convexhull,holistic,74.5,79
convexhull,holistic,71.0,80
convexhull,holistic,69.0,81
convexhull,holistic,68.5,82
convexhull,holistic,68.5,83
convexhull,holistic,69.5,84
convexhull,holistic,70.5,85
convexhull,holistic,70.5,86
convexhull,holistic,72.5,87
convexhull,holistic,76.5,88
convexhull,holistic,77.5,89
convexhull,holistic,75.0,90
convexhull,holistic,72.0,91
convexhull,holistic,69.5,92
convexhull,holistic,71.5,93
convexhull,holistic,78.5,94
convexhull,holistic,74.5,95
