extraction,approach,BPM gt,time gt
convexhull,holistic,61.0,0
convexhull,holistic,62.50000000000001,1
convexhull,holistic,62.50000000000001,2
convexhull,holistic,60.0,3
convexhull,holistic,60.0,4
convexhull,holistic,61.99999999999999,5
convexhull,holistic,59.5,6
convexhull,holistic,57.5,7
convexhull,holistic,57.5,8
convexhull,holistic,56.5,9
convexhull,holistic,55.49999999999999,10
convexhull,holistic,55.49999999999999,11
convexhull,holistic,56.0,12
convexhull,holistic,57.5,13
convexhull,holistic,61.0,14
convexhull,holistic,64.5,15
convexhull,holistic,63.0,16
convexhull,holistic,60.0,17
convexhull,holistic,60.0,18
convexhull,holistic,60.0,19
convexhull,holistic,58.0,20
convexhull,holistic,58.0,21
convexhull,holistic,59.0,22
convexhull,holistic,58.0,23
convexhull,holistic,59.0,24
convexhull,holistic,61.49999999999999,25
convexhull,holistic,61.0,26
convexhull,holistic,60.5,27
convexhull,holistic,62.50000000000001,28
convexhull,holistic,62.50000000000001,29
convexhull,holistic,61.99999999999999,30
convexhull,holistic,64.0,31
convexhull,holistic,64.5,32
convexhull,holistic,60.0,33
convexhull,holistic,58.5,34
convexhull,holistic,60.0,35
convexhull,holistic,58.5,36
convexhull,holistic,57.0,37
convexhull,holistic,57.0,38
convexhull,holistic,55.49999999999999,39
convexhull,holistic,56.5,40
convexhull,holistic,61.99999999999999,41
convexhull,holistic,63.5,42
convexhull,holistic,61.99999999999999,43
convexhull,holistic,61.99999999999999,44
convexhull,holistic,61.99999999999999,45
convexhull,holistic,61.49999999999999,46
convexhull,holistic,63.0,47
convexhull,holistic,66.0,48
convexhull,holistic,65.0,49
convexhull,holistic,63.0,50
convexhull,holistic,63.0,51
convexhull,holistic,60.5,52
convexhull,holistic,57.5,53
convexhull,holistic,59.5,54
convexhull,holistic,61.99999999999999,55
convexhull,holistic,62.50000000000001,56
convexhull,holistic,64.0,57
convexhull,holistic,66.5,58
convexhull,holistic,64.5,59
convexhull,holistic,61.0,60
convexhull,holistic,60.5,61
convexhull,holistic,61.49999999999999,62
convexhull,holistic,60.0,63
convexhull,holistic,57.5,64
convexhull,holistic,59.0,65
convexhull,holistic,61.99999999999999,66
convexhull,holistic,62.50000000000001,67
