time,BPM predicted,uncert,rPPG method
3.0,61.5234375,0.0,torch_CHROM
4.0,61.5234375,0.0,torch_CHROM
5.0,61.5234375,0.0,torch_CHROM
6.0,60.05859375,0.0,torch_CHROM
7.0,57.861328125,0.0,torch_CHROM
8.0,57.861328125,0.0,torch_CHROM
9.0,57.12890625,0.0,torch_CHROM
10.0,56.396484375,0.0,torch_CHROM
11.0,56.396484375,0.0,torch_CHROM
12.0,57.12890625,0.0,torch_CHROM
13.0,58.59375,0.0,torch_CHROM
14.0,62.255859375,0.0,torch_CHROM
15.0,64.453125,0.0,torch_CHROM
16.0,62.98828125,0.0,torch_CHROM
17.0,60.791015625,0.0,torch_CHROM
18.0,60.05859375,0.0,torch_CHROM
19.0,59.326171875,0.0,torch_CHROM
20.0,58.59375,0.0,torch_CHROM
21.0,58.59375,0.0,torch_CHROM
22.0,59.326171875,0.0,torch_CHROM
23.0,58.59375,0.0,torch_CHROM
24.0,60.791015625,0.0,torch_CHROM
25.0,62.255859375,0.0,torch_CHROM
26.0,62.255859375,0.0,torch_CHROM
27.0,62.98828125,0.0,torch_CHROM
28.0,64.453125,0.0,torch_CHROM
29.0,63.720703125,0.0,torch_CHROM
30.0,62.98828125,0.0,torch_CHROM
31.0,63.720703125,0.0,torch_CHROM
32.0,62.98828125,0.0,torch_CHROM
33.0,60.05859375,0.0,torch_CHROM
34.0,60.05859375,0.0,torch_CHROM
35.0,59.326171875,0.0,torch_CHROM
36.0,57.861328125,0.0,torch_CHROM
37.0,57.861328125,0.0,torch_CHROM
38.0,57.12890625,0.0,torch_CHROM
39.0,57.12890625,0.0,torch_CHROM
40.0,60.05859375,0.0,torch_CHROM
41.0,62.255859375,0.0,torch_CHROM
42.0,62.255859375,0.0,torch_CHROM
43.0,60.791015625,0.0,torch_CHROM
44.0,61.5234375,0.0,torch_CHROM
45.0,62.98828125,0.0,torch_CHROM
46.0,63.720703125,0.0,torch_CHROM
47.0,65.185546875,0.0,torch_CHROM
48.0,65.91796875,0.0,torch_CHROM
49.0,65.91796875,0.0,torch_CHROM
50.0,64.453125,0.0,torch_CHROM
51.0,60.791015625,0.0,torch_CHROM
52.0,59.326171875,0.0,torch_CHROM
53.0,60.05859375,0.0,torch_CHROM
54.0,61.5234375,0.0,torch_CHROM
55.0,62.255859375,0.0,torch_CHROM
56.0,64.453125,0.0,torch_CHROM
57.0,65.91796875,0.0,torch_CHROM
58.0,64.453125,0.0,torch_CHROM
59.0,61.5234375,0.0,torch_CHROM
60.0,60.791015625,0.0,torch_CHROM
61.0,61.5234375,0.0,torch_CHROM
62.0,60.05859375,0.0,torch_CHROM
63.0,57.861328125,0.0,torch_CHROM
