time,BPM predicted,uncert,rPPG method
3.0,59.326171875,0.0,cupy_POS
4.0,59.326171875,0.0,cupy_POS
5.0,60.791015625,0.0,cupy_POS
6.0,60.05859375,0.0,cupy_POS
7.0,61.5234375,0.0,cupy_POS
8.0,64.453125,0.0,cupy_POS
9.0,61.5234375,0.0,cupy_POS
10.0,53.466796875,0.0,cupy_POS
11.0,50.537109375,0.0,cupy_POS
12.0,51.26953125,0.0,cupy_POS
13.0,55.6640625,0.0,cupy_POS
14.0,57.861328125,0.0,cupy_POS
15.0,57.12890625,0.0,cupy_POS
16.0,57.12890625,0.0,cupy_POS
17.0,60.05859375,0.0,cupy_POS
18.0,61.5234375,0.0,cupy_POS
19.0,58.59375,0.0,cupy_POS
20.0,55.6640625,0.0,cupy_POS
21.0,54.931640625,0.0,cupy_POS
22.0,54.931640625,0.0,cupy_POS
23.0,55.6640625,0.0,cupy_POS
24.0,61.5234375,0.0,cupy_POS
25.0,63.720703125,0.0,cupy_POS
26.0,99.609375,0.0,cupy_POS
27.0,52.734375,0.0,cupy_POS
28.0,57.12890625,0.0,cupy_POS
29.0,59.326171875,0.0,cupy_POS
30.0,57.861328125,0.0,cupy_POS
31.0,57.861328125,0.0,cupy_POS
32.0,60.791015625,0.0,cupy_POS
33.0,62.98828125,0.0,cupy_POS
34.0,64.453125,0.0,cupy_POS
35.0,60.791015625,0.0,cupy_POS
36.0,57.12890625,0.0,cupy_POS
37.0,57.12890625,0.0,cupy_POS
38.0,58.59375,0.0,cupy_POS
39.0,58.59375,0.0,cupy_POS
40.0,61.5234375,0.0,cupy_POS
41.0,68.115234375,0.0,cupy_POS
42.0,79.1015625,0.0,cupy_POS
43.0,55.6640625,0.0,cupy_POS
44.0,57.12890625,0.0,cupy_POS
45.0,55.6640625,0.0,cupy_POS
46.0,56.396484375,0.0,cupy_POS
47.0,58.59375,0.0,cupy_POS
48.0,57.861328125,0.0,cupy_POS
49.0,57.12890625,0.0,cupy_POS
50.0,61.5234375,0.0,cupy_POS
51.0,62.255859375,0.0,cupy_POS
52.0,59.326171875,0.0,cupy_POS
53.0,58.59375,0.0,cupy_POS
54.0,61.5234375,0.0,cupy_POS
55.0,61.5234375,0.0,cupy_POS
56.0,59.326171875,0.0,cupy_POS
57.0,59.326171875,0.0,cupy_POS
58.0,60.791015625,0.0,cupy_POS
59.0,60.05859375,0.0,cupy_POS
60.0,57.861328125,0.0,cupy_POS
61.0,58.59375,0.0,cupy_POS
62.0,59.326171875,0.0,cupy_POS
