extraction,approach,BPM gt,time gt
convexhull,holistic,68.5,0
convexhull,holistic,64.0,1
convexhull,holistic,58.5,2
convexhull,holistic,58.0,3
convexhull,holistic,60.5,4
convexhull,holistic,60.0,5
convexhull,holistic,58.0,6
convexhull,holistic,58.0,7
convexhull,holistic,60.0,8
convexhull,holistic,59.5,9
convexhull,holistic,57.5,10
convexhull,holistic,58.5,11
convexhull,holistic,60.5,12
convexhull,holistic,58.5,13
convexhull,holistic,56.5,14
convexhull,holistic,59.5,15
convexhull,holistic,62.50000000000001,16
convexhull,holistic,61.99999999999999,17
convexhull,holistic,60.5,18
convexhull,holistic,61.49999999999999,19
convexhull,holistic,63.0,20
convexhull,holistic,60.5,21
convexhull,holistic,57.5,22
convexhull,holistic,59.0,23
convexhull,holistic,61.99999999999999,24
convexhull,holistic,60.5,25
convexhull,holistic,58.0,26
convexhull,holistic,58.0,27
convexhull,holistic,61.0,28
convexhull,holistic,61.99999999999999,29
convexhull,holistic,59.0,30
convexhull,holistic,58.0,31
convexhull,holistic,59.5,32
convexhull,holistic,63.0,33
convexhull,holistic,61.49999999999999,34
convexhull,holistic,57.5,35
convexhull,holistic,56.5,36
convexhull,holistic,58.0,37
convexhull,holistic,60.0,38
convexhull,holistic,59.5,39
convexhull,holistic,58.0,40
convexhull,holistic,58.5,41
convexhull,holistic,60.0,42
convexhull,holistic,58.0,43
convexhull,holistic,55.0,44
convexhull,holistic,56.0,45
convexhull,holistic,58.0,46
convexhull,holistic,57.0,47
convexhull,holistic,55.49999999999999,48
convexhull,holistic,58.0,49
convexhull,holistic,61.49999999999999,50
convexhull,holistic,64.0,51
convexhull,holistic,61.99999999999999,52
convexhull,holistic,58.5,53
convexhull,holistic,59.5,54
convexhull,holistic,59.5,55
convexhull,holistic,55.49999999999999,56
convexhull,holistic,56.5,57
convexhull,holistic,59.5,58
convexhull,holistic,60.0,59
convexhull,holistic,60.0,60
convexhull,holistic,64.0,61
convexhull,holistic,68.5,62
convexhull,holistic,68.0,63
convexhull,holistic,65.0,64
convexhull,holistic,64.5,65
convexhull,holistic,64.0,66
convexhull,holistic,61.99999999999999,67
convexhull,holistic,61.0,68
convexhull,holistic,63.0,69
convexhull,holistic,63.0,70
convexhull,holistic,60.5,71
convexhull,holistic,59.0,72
convexhull,holistic,53.5,73
convexhull,holistic,51.0,74
