extraction,approach,BPM gt,time gt
convexhull,holistic,39.5,0
convexhull,holistic,39.5,1
convexhull,holistic,78.5,2
convexhull,holistic,44.5,3
convexhull,holistic,43.0,4
convexhull,holistic,70.0,5
convexhull,holistic,76.0,6
convexhull,holistic,80.0,7
convexhull,holistic,81.5,8
convexhull,holistic,83.0,9
convexhull,holistic,84.0,10
convexhull,holistic,87.0,11
convexhull,holistic,88.5,12
convexhull,holistic,88.5,13
convexhull,holistic,89.5,14
convexhull,holistic,90.0,15
convexhull,holistic,89.5,16
convexhull,holistic,90.5,17
convexhull,holistic,90.5,18
convexhull,holistic,91.0,19
convexhull,holistic,92.5,20
convexhull,holistic,92.5,21
convexhull,holistic,93.0,22
convexhull,holistic,96.0,23
convexhull,holistic,97.0,24
convexhull,holistic,97.5,25
convexhull,holistic,99.0,26
convexhull,holistic,98.5,27
convexhull,holistic,98.5,28
convexhull,holistic,100.0,29
convexhull,holistic,98.5,30
convexhull,holistic,96.5,31
convexhull,holistic,98.5,32
convexhull,holistic,100.0,33
convexhull,holistic,101.0,34
convexhull,holistic,103.49999999999999,35
convexhull,holistic,105.5,36
convexhull,holistic,105.5,37
convexhull,holistic,104.0,38
convexhull,holistic,103.49999999999999,39
convexhull,holistic,103.49999999999999,40
convexhull,holistic,102.5,41
convexhull,holistic,101.0,42
convexhull,holistic,100.0,43
convexhull,holistic,101.5,44
convexhull,holistic,103.0,45
convexhull,holistic,103.49999999999999,46
convexhull,holistic,104.5,47
convexhull,holistic,105.5,48
convexhull,holistic,106.0,49
convexhull,holistic,105.0,50
convexhull,holistic,104.5,51
convexhull,holistic,103.49999999999999,52
convexhull,holistic,101.5,53
convexhull,holistic,101.5,54
convexhull,holistic,103.0,55
convexhull,holistic,103.49999999999999,56
convexhull,holistic,103.49999999999999,57
convexhull,holistic,104.0,58
convexhull,holistic,104.5,59
convexhull,holistic,107.0,60
convexhull,holistic,107.5,61
convexhull,holistic,106.5,62
convexhull,holistic,106.5,63
convexhull,holistic,108.0,64
convexhull,holistic,109.5,65
convexhull,holistic,110.5,66
convexhull,holistic,112.0,67
convexhull,holistic,112.5,68
convexhull,holistic,110.5,69
convexhull,holistic,108.0,70
convexhull,holistic,105.5,71
convexhull,holistic,104.0,72
convexhull,holistic,104.5,73
convexhull,holistic,104.5,74
convexhull,holistic,105.5,75
convexhull,holistic,107.0,76
convexhull,holistic,108.0,77
convexhull,holistic,110.0,78
convexhull,holistic,110.99999999999999,79
convexhull,holistic,110.99999999999999,80
convexhull,holistic,110.5,81
convexhull,holistic,110.0,82
convexhull,holistic,110.0,83
convexhull,holistic,109.5,84
convexhull,holistic,109.0,85
convexhull,holistic,109.0,86
convexhull,holistic,110.99999999999999,87
convexhull,holistic,112.0,88
convexhull,holistic,113.0,89
convexhull,holistic,115.5,90
convexhull,holistic,116.0,91
convexhull,holistic,112.5,92
convexhull,holistic,109.0,93
convexhull,holistic,108.5,94
convexhull,holistic,106.0,95
convexhull,holistic,104.0,96
convexhull,holistic,103.49999999999999,97
convexhull,holistic,104.0,98
convexhull,holistic,104.5,99
convexhull,holistic,105.5,100
convexhull,holistic,108.5,101
convexhull,holistic,108.5,102
convexhull,holistic,109.0,103
convexhull,holistic,110.99999999999999,104
convexhull,holistic,110.99999999999999,105
convexhull,holistic,111.5,106
convexhull,holistic,112.0,107
convexhull,holistic,112.5,108
