time,BPM predicted,uncert,rPPG method
3.0,76.171875,0.0,cupy_CHROM
4.0,72.509765625,0.0,cupy_CHROM
5.0,71.044921875,0.0,cupy_CHROM
6.0,71.77734375,0.0,cupy_CHROM
7.0,73.2421875,0.0,cupy_CHROM
8.0,73.974609375,0.0,cupy_CHROM
9.0,75.439453125,0.0,cupy_CHROM
10.0,77.63671875,0.0,cupy_CHROM
11.0,80.56640625,0.0,cupy_CHROM
12.0,81.298828125,0.0,cupy_CHROM
13.0,80.56640625,0.0,cupy_CHROM
14.0,78.369140625,0.0,cupy_CHROM
15.0,76.904296875,0.0,cupy_CHROM
16.0,79.1015625,0.0,cupy_CHROM
17.0,81.298828125,0.0,cupy_CHROM
18.0,81.298828125,0.0,cupy_CHROM
19.0,79.1015625,0.0,cupy_CHROM
20.0,79.1015625,0.0,cupy_CHROM
21.0,76.171875,0.0,cupy_CHROM
22.0,46.875,0.0,cupy_CHROM
23.0,45.41015625,0.0,cupy_CHROM
24.0,87.158203125,0.0,cupy_CHROM
25.0,84.9609375,0.0,cupy_CHROM
26.0,81.298828125,0.0,cupy_CHROM
27.0,82.03125,0.0,cupy_CHROM
28.0,83.49609375,0.0,cupy_CHROM
29.0,82.763671875,0.0,cupy_CHROM
30.0,82.763671875,0.0,cupy_CHROM
31.0,82.763671875,0.0,cupy_CHROM
32.0,78.369140625,0.0,cupy_CHROM
33.0,74.70703125,0.0,cupy_CHROM
34.0,76.171875,0.0,cupy_CHROM
35.0,78.369140625,0.0,cupy_CHROM
36.0,76.904296875,0.0,cupy_CHROM
37.0,76.171875,0.0,cupy_CHROM
38.0,76.904296875,0.0,cupy_CHROM
39.0,76.171875,0.0,cupy_CHROM
40.0,73.2421875,0.0,cupy_CHROM
41.0,75.439453125,0.0,cupy_CHROM
42.0,78.369140625,0.0,cupy_CHROM
43.0,77.63671875,0.0,cupy_CHROM
44.0,75.439453125,0.0,cupy_CHROM
45.0,78.369140625,0.0,cupy_CHROM
46.0,81.298828125,0.0,cupy_CHROM
47.0,79.833984375,0.0,cupy_CHROM
48.0,79.833984375,0.0,cupy_CHROM
49.0,53.466796875,0.0,cupy_CHROM
50.0,53.466796875,0.0,cupy_CHROM
51.0,76.904296875,0.0,cupy_CHROM
52.0,76.171875,0.0,cupy_CHROM
53.0,73.974609375,0.0,cupy_CHROM
54.0,73.2421875,0.0,cupy_CHROM
55.0,73.2421875,0.0,cupy_CHROM
56.0,71.044921875,0.0,cupy_CHROM
57.0,71.77734375,0.0,cupy_CHROM
58.0,74.70703125,0.0,cupy_CHROM
59.0,75.439453125,0.0,cupy_CHROM
60.0,73.974609375,0.0,cupy_CHROM
61.0,74.70703125,0.0,cupy_CHROM
62.0,74.70703125,0.0,cupy_CHROM
63.0,74.70703125,0.0,cupy_CHROM
64.0,71.77734375,0.0,cupy_CHROM
