extraction,approach,BPM gt,time gt
convexhull,holistic,87.0,0
convexhull,holistic,85.5,1
convexhull,holistic,82.0,2
convexhull,holistic,76.5,3
convexhull,holistic,71.0,4
convexhull,holistic,70.0,5
convexhull,holistic,72.0,6
convexhull,holistic,72.5,7
convexhull,holistic,73.0,8
convexhull,holistic,73.0,9
convexhull,holistic,74.5,10
convexhull,holistic,79.5,11
convexhull,holistic,82.0,12
convexhull,holistic,80.5,13
convexhull,holistic,76.5,14
convexhull,holistic,74.5,15
convexhull,holistic,76.0,16
convexhull,holistic,79.5,17
convexhull,holistic,80.5,18
convexhull,holistic,78.5,19
convexhull,holistic,76.5,20
convexhull,holistic,76.5,21
convexhull,holistic,77.5,22
convexhull,holistic,79.5,23
convexhull,holistic,79.0,24
convexhull,holistic,77.0,25
convexhull,holistic,78.5,26
convexhull,holistic,81.0,27
convexhull,holistic,80.5,28
convexhull,holistic,78.5,29
convexhull,holistic,79.0,30
convexhull,holistic,81.0,31
convexhull,holistic,80.0,32
convexhull,holistic,75.5,33
convexhull,holistic,73.0,34
convexhull,holistic,74.0,35
convexhull,holistic,76.0,36
convexhull,holistic,75.0,37
convexhull,holistic,73.0,38
convexhull,holistic,74.5,39
convexhull,holistic,75.5,40
convexhull,holistic,75.0,41
convexhull,holistic,77.5,42
convexhull,holistic,79.5,43
convexhull,holistic,77.0,44
convexhull,holistic,74.5,45
convexhull,holistic,76.5,46
convexhull,holistic,79.0,47
convexhull,holistic,78.5,48
convexhull,holistic,77.0,49
convexhull,holistic,77.0,50
convexhull,holistic,75.5,51
convexhull,holistic,72.5,52
convexhull,holistic,71.5,53
convexhull,holistic,71.0,54
convexhull,holistic,71.5,55
convexhull,holistic,72.0,56
convexhull,holistic,70.5,57
convexhull,holistic,71.5,58
convexhull,holistic,74.5,59
convexhull,holistic,74.5,60
convexhull,holistic,73.0,61
convexhull,holistic,74.0,62
convexhull,holistic,75.5,63
convexhull,holistic,74.0,64
convexhull,holistic,70.5,65
convexhull,holistic,69.5,66
convexhull,holistic,71.0,67
convexhull,holistic,72.5,68
convexhull,holistic,72.0,69
