time,BPM predicted,uncert,rPPG method
3.0,50.537109375,0.0,cupy_POS
4.0,49.072265625,0.0,cupy_POS
5.0,49.072265625,0.0,cupy_POS
6.0,54.19921875,0.0,cupy_POS
7.0,98.876953125,0.0,cupy_POS
8.0,95.947265625,0.0,cupy_POS
9.0,95.21484375,0.0,cupy_POS
10.0,95.21484375,0.0,cupy_POS
11.0,52.001953125,0.0,cupy_POS
12.0,52.734375,0.0,cupy_POS
13.0,52.001953125,0.0,cupy_POS
14.0,50.537109375,0.0,cupy_POS
15.0,50.537109375,0.0,cupy_POS
16.0,50.537109375,0.0,cupy_POS
17.0,51.26953125,0.0,cupy_POS
18.0,51.26953125,0.0,cupy_POS
19.0,51.26953125,0.0,cupy_POS
20.0,51.26953125,0.0,cupy_POS
21.0,46.875,0.0,cupy_POS
22.0,63.720703125,0.0,cupy_POS
23.0,52.001953125,0.0,cupy_POS
24.0,51.26953125,0.0,cupy_POS
25.0,50.537109375,0.0,cupy_POS
26.0,49.072265625,0.0,cupy_POS
27.0,48.33984375,0.0,cupy_POS
28.0,49.072265625,0.0,cupy_POS
29.0,49.072265625,0.0,cupy_POS
30.0,48.33984375,0.0,cupy_POS
31.0,45.41015625,0.0,cupy_POS
32.0,42.48046875,0.0,cupy_POS
33.0,49.072265625,0.0,cupy_POS
34.0,51.26953125,0.0,cupy_POS
35.0,52.001953125,0.0,cupy_POS
36.0,53.466796875,0.0,cupy_POS
37.0,92.28515625,0.0,cupy_POS
38.0,94.482421875,0.0,cupy_POS
39.0,54.931640625,0.0,cupy_POS
40.0,53.466796875,0.0,cupy_POS
41.0,52.001953125,0.0,cupy_POS
42.0,50.537109375,0.0,cupy_POS
43.0,49.8046875,0.0,cupy_POS
44.0,50.537109375,0.0,cupy_POS
45.0,50.537109375,0.0,cupy_POS
46.0,58.59375,0.0,cupy_POS
47.0,62.98828125,0.0,cupy_POS
48.0,51.26953125,0.0,cupy_POS
49.0,48.33984375,0.0,cupy_POS
50.0,49.8046875,0.0,cupy_POS
51.0,49.072265625,0.0,cupy_POS
52.0,48.33984375,0.0,cupy_POS
53.0,47.607421875,0.0,cupy_POS
54.0,48.33984375,0.0,cupy_POS
55.0,48.33984375,0.0,cupy_POS
56.0,48.33984375,0.0,cupy_POS
57.0,49.072265625,0.0,cupy_POS
58.0,49.072265625,0.0,cupy_POS
59.0,52.001953125,0.0,cupy_POS
60.0,103.271484375,0.0,cupy_POS
61.0,101.806640625,0.0,cupy_POS
62.0,52.001953125,0.0,cupy_POS
63.0,51.26953125,0.0,cupy_POS
64.0,51.26953125,0.0,cupy_POS
65.0,49.8046875,0.0,cupy_POS
66.0,49.8046875,0.0,cupy_POS
67.0,48.33984375,0.0,cupy_POS
