extraction,approach,BPM gt,time gt
convexhull,holistic,58.0,0
convexhull,holistic,55.0,1
convexhull,holistic,52.0,2
convexhull,holistic,53.0,3
convexhull,holistic,51.0,4
convexhull,holistic,49.5,5
convexhull,holistic,52.0,6
convexhull,holistic,52.5,7
convexhull,holistic,49.5,8
convexhull,holistic,47.5,9
convexhull,holistic,49.5,10
convexhull,holistic,50.5,11
convexhull,holistic,50.0,12
convexhull,holistic,50.0,13
convexhull,holistic,49.5,14
convexhull,holistic,49.5,15
convexhull,holistic,50.5,16
convexhull,holistic,51.5,17
convexhull,holistic,53.5,18
convexhull,holistic,54.0,19
convexhull,holistic,53.5,20
convexhull,holistic,54.5,21
convexhull,holistic,56.5,22
convexhull,holistic,55.0,23
convexhull,holistic,52.5,24
convexhull,holistic,52.5,25
convexhull,holistic,52.0,26
convexhull,holistic,49.5,27
convexhull,holistic,51.5,28
convexhull,holistic,51.5,29
convexhull,holistic,50.5,30
convexhull,holistic,52.0,31
convexhull,holistic,58.0,32
convexhull,holistic,59.5,33
convexhull,holistic,55.49999999999999,34
convexhull,holistic,54.5,35
convexhull,holistic,56.0,36
convexhull,holistic,53.5,37
convexhull,holistic,50.0,38
convexhull,holistic,50.5,39
convexhull,holistic,53.5,40
convexhull,holistic,54.5,41
convexhull,holistic,52.0,42
convexhull,holistic,51.5,43
convexhull,holistic,54.0,44
convexhull,holistic,52.5,45
convexhull,holistic,51.5,46
convexhull,holistic,55.0,47
convexhull,holistic,54.5,48
convexhull,holistic,50.5,49
convexhull,holistic,47.5,50
convexhull,holistic,49.0,51
convexhull,holistic,49.0,52
convexhull,holistic,48.5,53
convexhull,holistic,49.0,54
convexhull,holistic,48.5,55
convexhull,holistic,47.5,56
convexhull,holistic,49.0,57
convexhull,holistic,51.0,58
convexhull,holistic,51.0,59
convexhull,holistic,51.5,60
convexhull,holistic,53.5,61
convexhull,holistic,52.5,62
convexhull,holistic,48.5,63
convexhull,holistic,48.0,64
convexhull,holistic,51.0,65
convexhull,holistic,51.0,66
convexhull,holistic,48.5,67
convexhull,holistic,48.0,68
convexhull,holistic,49.5,69
convexhull,holistic,45.0,70
convexhull,holistic,39.5,71
convexhull,holistic,41.0,72
