time,BPM predicted,uncert,rPPG method
3.0,43.9453125,0.0,cupy_CHROM
4.0,51.26953125,0.0,cupy_CHROM
5.0,112.060546875,0.0,cupy_CHROM
6.0,105.46875,0.0,cupy_CHROM
7.0,104.00390625,0.0,cupy_CHROM
8.0,105.46875,0.0,cupy_CHROM
9.0,41.015625,0.0,cupy_CHROM
10.0,58.59375,0.0,cupy_CHROM
11.0,55.6640625,0.0,cupy_CHROM
12.0,49.072265625,0.0,cupy_CHROM
13.0,42.48046875,0.0,cupy_CHROM
14.0,41.015625,0.0,cupy_CHROM
15.0,43.9453125,0.0,cupy_CHROM
16.0,46.142578125,0.0,cupy_CHROM
17.0,50.537109375,0.0,cupy_CHROM
18.0,57.861328125,0.0,cupy_CHROM
19.0,59.326171875,0.0,cupy_CHROM
20.0,59.326171875,0.0,cupy_CHROM
21.0,54.19921875,0.0,cupy_CHROM
22.0,110.595703125,0.0,cupy_CHROM
23.0,51.26953125,0.0,cupy_CHROM
24.0,52.001953125,0.0,cupy_CHROM
25.0,54.931640625,0.0,cupy_CHROM
26.0,118.65234375,0.0,cupy_CHROM
27.0,117.919921875,0.0,cupy_CHROM
28.0,118.65234375,0.0,cupy_CHROM
29.0,60.791015625,0.0,cupy_CHROM
30.0,49.8046875,0.0,cupy_CHROM
31.0,47.607421875,0.0,cupy_CHROM
32.0,70.3125,0.0,cupy_CHROM
33.0,64.453125,0.0,cupy_CHROM
34.0,114.2578125,0.0,cupy_CHROM
35.0,115.72265625,0.0,cupy_CHROM
36.0,117.1875,0.0,cupy_CHROM
37.0,122.314453125,0.0,cupy_CHROM
38.0,63.720703125,0.0,cupy_CHROM
39.0,60.05859375,0.0,cupy_CHROM
40.0,57.12890625,0.0,cupy_CHROM
41.0,120.849609375,0.0,cupy_CHROM
42.0,120.849609375,0.0,cupy_CHROM
43.0,121.58203125,0.0,cupy_CHROM
44.0,123.779296875,0.0,cupy_CHROM
45.0,123.046875,0.0,cupy_CHROM
46.0,59.326171875,0.0,cupy_CHROM
47.0,58.59375,0.0,cupy_CHROM
48.0,44.677734375,0.0,cupy_CHROM
49.0,46.142578125,0.0,cupy_CHROM
50.0,45.41015625,0.0,cupy_CHROM
51.0,47.607421875,0.0,cupy_CHROM
52.0,57.861328125,0.0,cupy_CHROM
53.0,59.326171875,0.0,cupy_CHROM
54.0,115.72265625,0.0,cupy_CHROM
55.0,114.990234375,0.0,cupy_CHROM
56.0,114.990234375,0.0,cupy_CHROM
57.0,113.525390625,0.0,cupy_CHROM
58.0,116.455078125,0.0,cupy_CHROM
59.0,121.58203125,0.0,cupy_CHROM
