extraction,approach,BPM gt,time gt
convexhull,holistic,58.5,0
convexhull,holistic,99.5,1
convexhull,holistic,97.0,2
convexhull,holistic,98.5,3
convexhull,holistic,103.0,4
convexhull,holistic,106.0,5
convexhull,holistic,106.0,6
convexhull,holistic,106.0,7
convexhull,holistic,104.0,8
convexhull,holistic,101.0,9
convexhull,holistic,101.0,10
convexhull,holistic,103.0,11
convexhull,holistic,104.5,12
convexhull,holistic,106.0,13
convexhull,holistic,107.5,14
convexhull,holistic,108.0,15
convexhull,holistic,110.0,16
convexhull,holistic,113.5,17
convexhull,holistic,116.0,18
convexhull,holistic,117.0,19
convexhull,holistic,117.0,20
convexhull,holistic,116.0,21
convexhull,holistic,114.5,22
convexhull,holistic,112.5,23
convexhull,holistic,110.5,24
convexhull,holistic,110.99999999999999,25
convexhull,holistic,111.5,26
convexhull,holistic,112.0,27
convexhull,holistic,113.0,28
convexhull,holistic,114.5,29
convexhull,holistic,116.5,30
convexhull,holistic,118.0,31
convexhull,holistic,118.49999999999999,32
convexhull,holistic,118.0,33
convexhull,holistic,117.0,34
convexhull,holistic,116.5,35
convexhull,holistic,115.5,36
convexhull,holistic,116.0,37
convexhull,holistic,119.0,38
convexhull,holistic,121.0,39
convexhull,holistic,120.0,40
convexhull,holistic,119.0,41
convexhull,holistic,119.0,42
convexhull,holistic,118.49999999999999,43
convexhull,holistic,117.5,44
convexhull,holistic,118.0,45
convexhull,holistic,119.0,46
convexhull,holistic,118.0,47
convexhull,holistic,117.5,48
convexhull,holistic,119.5,49
convexhull,holistic,122.49999999999999,50
convexhull,holistic,122.99999999999999,51
convexhull,holistic,120.5,52
convexhull,holistic,117.0,53
convexhull,holistic,115.0,54
convexhull,holistic,113.5,55
convexhull,holistic,114.0,56
convexhull,holistic,115.0,57
convexhull,holistic,116.5,58
convexhull,holistic,118.0,59
convexhull,holistic,119.0,60
convexhull,holistic,120.0,61
convexhull,holistic,121.5,62
convexhull,holistic,121.5,63
convexhull,holistic,121.0,64
convexhull,holistic,122.49999999999999,65
convexhull,holistic,123.99999999999999,66
convexhull,holistic,124.50000000000001,67
convexhull,holistic,125.5,68
convexhull,holistic,128.0,69
convexhull,holistic,129.0,70
convexhull,holistic,127.5,71
convexhull,holistic,125.5,72
convexhull,holistic,123.49999999999999,73
convexhull,holistic,121.5,74
convexhull,holistic,120.5,75
convexhull,holistic,121.0,76
convexhull,holistic,122.0,77
convexhull,holistic,122.49999999999999,78
convexhull,holistic,122.0,79
convexhull,holistic,121.0,80
convexhull,holistic,120.0,81
convexhull,holistic,120.0,82
convexhull,holistic,120.5,83
convexhull,holistic,121.0,84
convexhull,holistic,121.0,85
convexhull,holistic,120.5,86
convexhull,holistic,120.5,87
convexhull,holistic,120.5,88
convexhull,holistic,119.5,89
convexhull,holistic,119.0,90
convexhull,holistic,119.5,91
convexhull,holistic,119.5,92
convexhull,holistic,120.0,93
convexhull,holistic,121.0,94
convexhull,holistic,121.0,95
convexhull,holistic,119.5,96
convexhull,holistic,118.49999999999999,97
convexhull,holistic,120.0,98
convexhull,holistic,121.5,99
convexhull,holistic,122.49999999999999,100
convexhull,holistic,122.99999999999999,101
convexhull,holistic,123.99999999999999,102
convexhull,holistic,124.50000000000001,103
convexhull,holistic,124.50000000000001,104
convexhull,holistic,125.00000000000001,105
convexhull,holistic,125.5,106
convexhull,holistic,125.5,107
convexhull,holistic,126.0,108
convexhull,holistic,125.5,109
convexhull,holistic,124.50000000000001,110
convexhull,holistic,124.50000000000001,111
convexhull,holistic,124.50000000000001,112
convexhull,holistic,123.99999999999999,113
convexhull,holistic,123.49999999999999,114
convexhull,holistic,122.99999999999999,115
