time,BPM predicted,uncert,rPPG method
3.0,74.70703125,0.0,cupy_POS
4.0,76.171875,0.0,cupy_POS
5.0,80.56640625,0.0,cupy_POS
6.0,80.56640625,0.0,cupy_POS
7.0,78.369140625,0.0,cupy_POS
8.0,77.63671875,0.0,cupy_POS
9.0,79.1015625,0.0,cupy_POS
10.0,78.369140625,0.0,cupy_POS
11.0,76.904296875,0.0,cupy_POS
12.0,78.369140625,0.0,cupy_POS
13.0,82.03125,0.0,cupy_POS
14.0,82.03125,0.0,cupy_POS
15.0,79.833984375,0.0,cupy_POS
16.0,78.369140625,0.0,cupy_POS
17.0,77.63671875,0.0,cupy_POS
18.0,77.63671875,0.0,cupy_POS
19.0,77.63671875,0.0,cupy_POS
20.0,77.63671875,0.0,cupy_POS
21.0,78.369140625,0.0,cupy_POS
22.0,79.1015625,0.0,cupy_POS
23.0,79.833984375,0.0,cupy_POS
24.0,78.369140625,0.0,cupy_POS
25.0,77.63671875,0.0,cupy_POS
26.0,77.63671875,0.0,cupy_POS
27.0,77.63671875,0.0,cupy_POS
28.0,77.63671875,0.0,cupy_POS
29.0,81.298828125,0.0,cupy_POS
30.0,84.228515625,0.0,cupy_POS
31.0,82.03125,0.0,cupy_POS
32.0,77.63671875,0.0,cupy_POS
33.0,76.171875,0.0,cupy_POS
34.0,76.171875,0.0,cupy_POS
35.0,77.63671875,0.0,cupy_POS
36.0,79.833984375,0.0,cupy_POS
37.0,81.298828125,0.0,cupy_POS
38.0,84.228515625,0.0,cupy_POS
39.0,82.763671875,0.0,cupy_POS
40.0,76.171875,0.0,cupy_POS
41.0,73.2421875,0.0,cupy_POS
42.0,73.974609375,0.0,cupy_POS
43.0,76.171875,0.0,cupy_POS
44.0,78.369140625,0.0,cupy_POS
45.0,77.63671875,0.0,cupy_POS
46.0,75.439453125,0.0,cupy_POS
47.0,73.2421875,0.0,cupy_POS
48.0,73.2421875,0.0,cupy_POS
49.0,74.70703125,0.0,cupy_POS
50.0,78.369140625,0.0,cupy_POS
51.0,76.904296875,0.0,cupy_POS
52.0,71.77734375,0.0,cupy_POS
53.0,68.84765625,0.0,cupy_POS
54.0,73.974609375,0.0,cupy_POS
55.0,82.03125,0.0,cupy_POS
56.0,84.9609375,0.0,cupy_POS
57.0,80.56640625,0.0,cupy_POS
58.0,75.439453125,0.0,cupy_POS
59.0,75.439453125,0.0,cupy_POS
60.0,78.369140625,0.0,cupy_POS
61.0,76.171875,0.0,cupy_POS
62.0,73.974609375,0.0,cupy_POS
63.0,76.904296875,0.0,cupy_POS
64.0,80.56640625,0.0,cupy_POS
65.0,81.298828125,0.0,cupy_POS
66.0,80.56640625,0.0,cupy_POS
67.0,79.833984375,0.0,cupy_POS
68.0,80.56640625,0.0,cupy_POS
