extraction,approach,BPM gt,time gt
convexhull,holistic,98.0,0
convexhull,holistic,89.0,1
convexhull,holistic,79.0,2
convexhull,holistic,73.5,3
convexhull,holistic,73.5,4
convexhull,holistic,78.0,5
convexhull,holistic,80.5,6
convexhull,holistic,79.5,7
convexhull,holistic,78.5,8
convexhull,holistic,78.5,9
convexhull,holistic,78.0,10
convexhull,holistic,76.5,11
convexhull,holistic,77.0,12
convexhull,holistic,80.0,13
convexhull,holistic,82.5,14
convexhull,holistic,83.0,15
convexhull,holistic,78.5,16
convexhull,holistic,75.5,17
convexhull,holistic,77.5,18
convexhull,holistic,79.0,19
convexhull,holistic,77.5,20
convexhull,holistic,77.0,21
convexhull,holistic,78.5,22
convexhull,holistic,80.0,23
convexhull,holistic,79.0,24
convexhull,holistic,77.5,25
convexhull,holistic,77.0,26
convexhull,holistic,77.0,27
convexhull,holistic,77.5,28
convexhull,holistic,80.0,29
convexhull,holistic,83.0,30
convexhull,holistic,82.5,31
convexhull,holistic,79.0,32
convexhull,holistic,75.0,33
convexhull,holistic,75.0,34
convexhull,holistic,76.5,35
convexhull,holistic,77.5,36
convexhull,holistic,79.5,37
convexhull,holistic,80.5,38
convexhull,holistic,80.0,39
convexhull,holistic,76.0,40
convexhull,holistic,73.5,41
convexhull,holistic,74.0,42
convexhull,holistic,75.5,43
convexhull,holistic,76.0,44
convexhull,holistic,76.5,45
convexhull,holistic,76.0,46
convexhull,holistic,74.0,47
convexhull,holistic,72.0,48
convexhull,holistic,73.0,49
convexhull,holistic,76.0,50
convexhull,holistic,77.5,51
convexhull,holistic,74.5,52
convexhull,holistic,71.5,53
convexhull,holistic,71.5,54
convexhull,holistic,75.5,55
convexhull,holistic,82.0,56
convexhull,holistic,82.5,57
convexhull,holistic,78.0,58
convexhull,holistic,75.5,59
convexhull,holistic,76.5,60
convexhull,holistic,77.0,61
convexhull,holistic,75.5,62
convexhull,holistic,74.0,63
convexhull,holistic,76.5,64
convexhull,holistic,80.0,65
convexhull,holistic,81.5,66
convexhull,holistic,80.0,67
convexhull,holistic,79.5,68
convexhull,holistic,80.0,69
convexhull,holistic,79.0,70
convexhull,holistic,77.0,71
convexhull,holistic,75.5,72
convexhull,holistic,76.5,73
