time,BPM predicted,uncert,rPPG method
3.0,93.75,0.0,cupy_POS
4.0,92.28515625,0.0,cupy_POS
5.0,88.623046875,0.0,cupy_POS
6.0,85.693359375,0.0,cupy_POS
7.0,82.763671875,0.0,cupy_POS
8.0,79.1015625,0.0,cupy_POS
9.0,78.369140625,0.0,cupy_POS
10.0,80.56640625,0.0,cupy_POS
11.0,82.03125,0.0,cupy_POS
12.0,84.9609375,0.0,cupy_POS
13.0,86.42578125,0.0,cupy_POS
14.0,83.49609375,0.0,cupy_POS
15.0,82.03125,0.0,cupy_POS
16.0,82.763671875,0.0,cupy_POS
17.0,80.56640625,0.0,cupy_POS
18.0,77.63671875,0.0,cupy_POS
19.0,77.63671875,0.0,cupy_POS
20.0,76.904296875,0.0,cupy_POS
21.0,76.904296875,0.0,cupy_POS
22.0,78.369140625,0.0,cupy_POS
23.0,77.63671875,0.0,cupy_POS
24.0,59.326171875,0.0,cupy_POS
25.0,60.05859375,0.0,cupy_POS
26.0,57.12890625,0.0,cupy_POS
27.0,57.861328125,0.0,cupy_POS
28.0,66.650390625,0.0,cupy_POS
29.0,82.03125,0.0,cupy_POS
30.0,88.623046875,0.0,cupy_POS
31.0,89.35546875,0.0,cupy_POS
32.0,84.9609375,0.0,cupy_POS
33.0,82.763671875,0.0,cupy_POS
34.0,82.763671875,0.0,cupy_POS
35.0,84.9609375,0.0,cupy_POS
36.0,85.693359375,0.0,cupy_POS
37.0,82.03125,0.0,cupy_POS
38.0,81.298828125,0.0,cupy_POS
39.0,82.763671875,0.0,cupy_POS
40.0,81.298828125,0.0,cupy_POS
41.0,79.1015625,0.0,cupy_POS
42.0,82.03125,0.0,cupy_POS
43.0,46.875,0.0,cupy_POS
44.0,54.19921875,0.0,cupy_POS
45.0,58.59375,0.0,cupy_POS
46.0,62.255859375,0.0,cupy_POS
47.0,55.6640625,0.0,cupy_POS
48.0,84.228515625,0.0,cupy_POS
49.0,81.298828125,0.0,cupy_POS
50.0,81.298828125,0.0,cupy_POS
51.0,85.693359375,0.0,cupy_POS
52.0,87.890625,0.0,cupy_POS
53.0,85.693359375,0.0,cupy_POS
54.0,82.763671875,0.0,cupy_POS
55.0,82.763671875,0.0,cupy_POS
56.0,81.298828125,0.0,cupy_POS
57.0,79.833984375,0.0,cupy_POS
58.0,81.298828125,0.0,cupy_POS
59.0,84.228515625,0.0,cupy_POS
60.0,85.693359375,0.0,cupy_POS
61.0,83.49609375,0.0,cupy_POS
62.0,81.298828125,0.0,cupy_POS
63.0,79.833984375,0.0,cupy_POS
64.0,78.369140625,0.0,cupy_POS
65.0,79.833984375,0.0,cupy_POS
66.0,83.49609375,0.0,cupy_POS
67.0,85.693359375,0.0,cupy_POS
