time,BPM predicted,uncert,rPPG method
3.0,58.59375,0.0,cupy_CHROM
4.0,60.791015625,0.0,cupy_CHROM
5.0,72.509765625,0.0,cupy_CHROM
6.0,94.482421875,0.0,cupy_CHROM
7.0,96.6796875,0.0,cupy_CHROM
8.0,98.14453125,0.0,cupy_CHROM
9.0,98.876953125,0.0,cupy_CHROM
10.0,98.14453125,0.0,cupy_CHROM
11.0,97.412109375,0.0,cupy_CHROM
12.0,91.552734375,0.0,cupy_CHROM
13.0,87.890625,0.0,cupy_CHROM
14.0,85.693359375,0.0,cupy_CHROM
15.0,85.693359375,0.0,cupy_CHROM
16.0,86.42578125,0.0,cupy_CHROM
17.0,87.158203125,0.0,cupy_CHROM
18.0,93.017578125,0.0,cupy_CHROM
19.0,95.21484375,0.0,cupy_CHROM
20.0,94.482421875,0.0,cupy_CHROM
21.0,90.087890625,0.0,cupy_CHROM
22.0,84.228515625,0.0,cupy_CHROM
23.0,78.369140625,0.0,cupy_CHROM
24.0,41.748046875,0.0,cupy_CHROM
25.0,84.9609375,0.0,cupy_CHROM
26.0,88.623046875,0.0,cupy_CHROM
27.0,89.35546875,0.0,cupy_CHROM
28.0,62.98828125,0.0,cupy_CHROM
29.0,63.720703125,0.0,cupy_CHROM
30.0,92.28515625,0.0,cupy_CHROM
31.0,95.21484375,0.0,cupy_CHROM
32.0,95.21484375,0.0,cupy_CHROM
33.0,93.75,0.0,cupy_CHROM
34.0,89.35546875,0.0,cupy_CHROM
35.0,85.693359375,0.0,cupy_CHROM
36.0,82.03125,0.0,cupy_CHROM
37.0,84.9609375,0.0,cupy_CHROM
38.0,87.158203125,0.0,cupy_CHROM
39.0,87.158203125,0.0,cupy_CHROM
40.0,85.693359375,0.0,cupy_CHROM
41.0,83.49609375,0.0,cupy_CHROM
42.0,81.298828125,0.0,cupy_CHROM
43.0,84.228515625,0.0,cupy_CHROM
44.0,85.693359375,0.0,cupy_CHROM
45.0,88.623046875,0.0,cupy_CHROM
46.0,90.8203125,0.0,cupy_CHROM
47.0,108.3984375,0.0,cupy_CHROM
48.0,86.42578125,0.0,cupy_CHROM
49.0,91.552734375,0.0,cupy_CHROM
50.0,91.552734375,0.0,cupy_CHROM
51.0,89.35546875,0.0,cupy_CHROM
52.0,73.2421875,0.0,cupy_CHROM
53.0,75.439453125,0.0,cupy_CHROM
54.0,73.2421875,0.0,cupy_CHROM
55.0,48.33984375,0.0,cupy_CHROM
56.0,99.609375,0.0,cupy_CHROM
57.0,52.001953125,0.0,cupy_CHROM
58.0,87.890625,0.0,cupy_CHROM
59.0,86.42578125,0.0,cupy_CHROM
60.0,86.42578125,0.0,cupy_CHROM
61.0,91.552734375,0.0,cupy_CHROM
62.0,92.28515625,0.0,cupy_CHROM
63.0,87.158203125,0.0,cupy_CHROM
64.0,82.763671875,0.0,cupy_CHROM
65.0,83.49609375,0.0,cupy_CHROM
66.0,83.49609375,0.0,cupy_CHROM
67.0,86.42578125,0.0,cupy_CHROM
68.0,52.001953125,0.0,cupy_CHROM
69.0,91.552734375,0.0,cupy_CHROM
70.0,88.623046875,0.0,cupy_CHROM
71.0,83.49609375,0.0,cupy_CHROM
72.0,79.1015625,0.0,cupy_CHROM
73.0,79.1015625,0.0,cupy_CHROM
74.0,79.833984375,0.0,cupy_CHROM
75.0,81.298828125,0.0,cupy_CHROM
76.0,83.49609375,0.0,cupy_CHROM
